title,organiser,blurb,description,guid,activity_or_event,url,is_free,price_display_teaser,price_display,price,min_price,max_price,age_group_display,min_age,max_age,datetime_display_teaser,datetime_display,start_datetime,end_datetime,venue_name,label_tag,Keyword_tag,full_address,categories,images,id,longitude,latitude,district,area,checked,source_file
Floral Fantasy: An Out of This World Escape,Gardens by the Bay,Embark on an enchanting journey through four gardens.,"Floral Fantasy promises an escape that’s truly out of this world. Embark on an enchanting journey through four whimsical gardens enlivened by a creative amalgamation of foliage and flowers. Perfect for families and flower lovers, Floral Fantasy offers a unique and immersive experience. Discover diverse plant life and enjoy the beautiful, climate-controlled environment. A must-visit destination for all ages, Floral Fantasy provides a captivating journey through the world of flowers. Explore themed gardens and learn about unique plant species in this creative display.",https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,event,https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,True,Free + Paid options,"$8 for child and senior citizens, $12 for adults (Free for child below 3 years old)",12.0,0.0,12,Suitable for all ages,0.0,99.0,Available daily,"Available daily, 10am – 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Floral Fantasy,,"Whimsical, garden, gbtb, flowers","18 Marina Gardens Dr, Singapore 018953",Attraction,"[{""url"": """", ""original_url"": """", ""filename"": ""Floral_Fantasy__An_Out_of_This_World_Escape_1.jpeg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Floral_Fantasy__An_Out_of_This_World_Escape_1.jpeg"", ""source_credit"": ""mummysmarket""}, {""url"": """", ""original_url"": """", ""filename"": ""Floral_Fantasy__An_Out_of_This_World_Escape_2.jpeg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Floral_Fantasy__An_Out_of_This_World_Escape_2.jpeg"", ""source_credit"": ""mummysmarket""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/floral-fantasy.html"", ""filename"": ""Floral_Fantasy__An_Out_of_This_World_Escape_3.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Floral_Fantasy__An_Out_of_This_World_Escape_3.jpg"", ""source_credit"": ""gardensbythebay""}]",666.0,103.8611877,1.2817383999999998,Marina South,Central Region,True,gardensbybay.json
OCBC Skyway: Capture Glorious Panorama Shots,Gardens by the Bay,Unleash your inner shutterbug at the 22m-tall Skyway.,"Have your camera ready? Unleash your inner shutterbug at the 22m-tall OCBC Skyway and capture that glorious panorama shot in the company of 12 gigantic vertical gardens. Perfect for families and photography enthusiasts, the OCBC Skyway offers a unique and elevated experience. Enjoy stunning views of the Gardens and the Marina Bay skyline. A must-visit destination for all ages, the OCBC Skyway provides a captivating perspective of the surrounding landscape. Capture memorable moments and create lasting memories in this iconic attraction.",https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,activity,https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,True,Free + Paid options,"$7 for child and senior citizens, $10 for adults (Free for child below 3 years old)",10.0,0.0,10,Suitable for all ages,0.0,99.0,Available daily,"Available daily, 9am – 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,OCBC Skyway,,"Panorama, scenic, overview, gbtb","18 Marina Gardens Dr, Singapore 018953",Attraction,"[{""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/ocbc-skyway.html"", ""filename"": ""OCBC_Skyway__Capture_Glorious_Panorama_Shots_1.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/OCBC_Skyway__Capture_Glorious_Panorama_Shots_1.jpg"", ""source_credit"": ""gardensbythebay""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/ocbc-skyway.html"", ""filename"": ""OCBC_Skyway__Capture_Glorious_Panorama_Shots_2.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/OCBC_Skyway__Capture_Glorious_Panorama_Shots_2.jpg"", ""source_credit"": ""gardensbythebay""}]",667.0,103.8641664,1.2823908,Marina South,Central Region,True,gardensbybay.json
Supertree Observatory: Gardens' Highest Point,Gardens by the Bay,Reach the height of your experience at the Gardens!,"Reach the height of your experience at the Gardens’ highest point—the Supertree Observatory! Housed in the tallest Supertree, the Observatory offers captivating views of the Gardens from its indoor viewing deck and open rooftop. Perfect for families and sightseers, the Supertree Observatory provides a unique and elevated experience. Enjoy stunning views of the Gardens and the surrounding landscape. A must-visit destination for all ages, the Supertree Observatory offers a captivating perspective of the Gardens from above. Explore the indoor viewing deck and open rooftop for panoramic views.",https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,activity,https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,False,Free + Paid options,"$6 for child and senior citizens, $10 for adults (Free for child below 3 years old)",10.0,0.0,10,Suitable for all ages,0.0,99.0,Available daily,"Available daily, 9am – 9pm",1970-01-01T00:00:00,2099-12-31T00:00:00,Supertree Observatory,,"rooftop, panoramic, scenic","18 Marina Gardens Dr, #03-01, Singapore 018953",Attraction,"[{""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/supertree-observatory.html"", ""filename"": ""Supertree_Observatory__Gardens__Highest_Point_1.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Supertree_Observatory__Gardens__Highest_Point_1.jpg"", ""source_credit"": ""gardensbythebay""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/supertree-observatory.html"", ""filename"": ""Supertree_Observatory__Gardens__Highest_Point_2.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Supertree_Observatory__Gardens__Highest_Point_2.jpg"", ""source_credit"": ""gardensbythebay""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/supertree-observatory.html"", ""filename"": ""Supertree_Observatory__Gardens__Highest_Point_3.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Supertree_Observatory__Gardens__Highest_Point_3.jpg"", ""source_credit"": ""gardensbythebay""}]",668.0,103.8639213,1.2820342,Marina South,Central Region,True,gardensbybay.json
Active Garden and PropNex Family Zone,Gardens by the Bay,A playground for all ages to relax and bond.,"The perfect playground for people of all ages and from all walks of life to relax and bond in a lush, waterfront setting. Enjoy fun under the sun for the whole family in the expansive outdoor gardens! Take a meandering stroll through the intriguing World of Plants themed gardens, learn about how plants intersect with the Singapore Story at the Heritage Gardens and have a splashing good time with your little ones at the Far East Organization Children's Garden! This is a great place for families to spend time together and enjoy the outdoors. The playground is designed to be inclusive and accessible to all.",https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,activity,https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,True,Free,Free,0.0,0.0,0.0,Suitable for all ages,0.0,99.0,Available daily,"Available daily, 5am - 2am",1970-01-01T00:00:00,2099-12-31T23:59:00,Active Garden and PropNex Family Zone,Sandpit,"Playground, slide, flying fox, zipline, see-saw, swing, sand","18 Marina Gardens Dr, Singapore 018953",Outdoor Playground; Attraction,"[{""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/active-garden-propnex-family-zone.html"", ""filename"": ""Active_Garden_and_PropNex_Family_Zone_1.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Active_Garden_and_PropNex_Family_Zone_1.jpg"", ""source_credit"": ""gardensbythebay""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/active-garden-propnex-family-zone.html"", ""filename"": ""Active_Garden_and_PropNex_Family_Zone_2.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Active_Garden_and_PropNex_Family_Zone_2.jpg"", ""source_credit"": ""gardensbythebay""}]",669.0,103.8621671,1.2855429999999999,Marina South,Central Region,True,gardensbybay.json
Bay East Garden: A Picturesque World Awaits,Gardens by the Bay,Step into a world of beautiful pavilions and lawns.,"Step into a picturesque world where beautiful pavilions, lush expansive lawns, elegant palm trees await. With glorious views of the Marina Bay skyline, Bay East Garden is a splendid oasis to chill out with a book, or have a family picnic. Perfect for families and nature lovers, Bay East Garden offers a tranquil and relaxing experience. Enjoy the beautiful scenery and the peaceful atmosphere. A must-visit destination for all ages, Bay East Garden provides a captivating escape from the hustle and bustle of city life. Relax and unwind in this beautiful outdoor space.",https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,activity,https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,True,Free,Free,0.0,0.0,0.0,Suitable for all ages,0.0,99.0,Available daily,Available daily,1970-01-01T00:00:00,2099-12-31T00:00:00,Bay East Garden,,"Pavilions, lawns, palm trees, Marina Bay skyline, picnic","8 Marina Gardens Dr, Singapore 018951",Attraction,"[{""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/bay-east-garden.html"", ""filename"": ""Bay_East_Garden__A_Picturesque_World_Awaits_1.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Bay_East_Garden__A_Picturesque_World_Awaits_1.jpg"", ""source_credit"": ""gardensbythebay""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/bay-east-garden.html"", ""filename"": ""Bay_East_Garden__A_Picturesque_World_Awaits_2.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Bay_East_Garden__A_Picturesque_World_Awaits_2.jpg"", ""source_credit"": ""gardensbythebay""}]",670.0,103.87385959999999,1.2823935,Marina East,Central Region,True,gardensbybay.json
Garden Rhapsody,Gardens by the Bay,"Explore Supertrees, waterfall, and cooled conservatories.","Experience the dazzling nightly spectacle of Garden Rhapsody at Gardens by the Bay—a magical light and sound show nestled in the iconic Supertree Grove. As dusk settles, towering “trees” burst into life with choreographed LED sequences synced to a vibrant musical soundtrack, creating a mesmerising outdoor performance. Ideal for families and visitors alike, Garden Rhapsody combines nature-inspired architecture with high-tech flair in a setting that’s easy to access and perfect to unwind in. Bring a mat, arrive early for a great viewing spot, and settle in to watch the garden transform into a dazzling wonderland of light, sound and shared delight.",https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,event,https://www.gardensbythebay.com.sg/en/things-to-do/calendar-of-events/garden-rhapsody.html,True,Free,Free,0.0,0.0,0,Suitable for all ages,0.0,0.0,Available daily,"Available daily, 7.45pm & 8.45pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Supertree Grove,,"gbtb, Supertrees, light, show, garden","18 Marina Gardens Dr, Singapore 018953",Attraction,"[{""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/calendar-of-events/garden-rhapsody.html"", ""filename"": ""Garden_Rhapsody_1.png"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Garden_Rhapsody_1.png"", ""source_credit"": ""gardensbythebay""}]",671.0,103.8636132,1.2815683,Marina South,Central Region,True,gardensbybay.json
Dragonfly & Kingfisher Lakes,Gardens by the Bay,Refresh your day with a sparkling river walk.,"Refresh your day with a sparkling river walk. As you admire the aquatic life in and around the lake, dive deeper to discover the marvellous ecosystem thriving right within. Explore the diverse flora and fauna that call these lakes home. Perfect for nature lovers and families seeking a peaceful escape. Discover the beauty of aquatic ecosystems and enjoy a relaxing stroll along the waterfront. Dragonfly & Kingfisher Lakes offer a unique opportunity to connect with nature and appreciate the wonders of biodiversity.",https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,activity,https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,True,Free,Free,0.0,0.0,0.0,Suitable for all ages,0.0,99.0,Available daily,"Available daily, 5am - 2am",1970-01-01T00:00:00,2099-12-31T00:00:00,Dragonfly & Kingfisher Lakes,,"gbtb, picnic",Dragonfly Lake,Attraction,"[{""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/dragonfly-and-kingfisher-lake.html"", ""filename"": ""Dragonfly___Kingfisher_Lakes_1.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Dragonfly___Kingfisher_Lakes_1.jpg"", ""source_credit"": ""gardensbythebay""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/dragonfly-and-kingfisher-lake.html"", ""filename"": ""Dragonfly___Kingfisher_Lakes_2.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Dragonfly___Kingfisher_Lakes_2.jpg"", ""source_credit"": ""gardensbythebay""}]",681.0,103.86311239999999,1.2835724,Marina South,Central Region,True,gardensbybay.json
Far East Organization Children's Garden,Gardens by the Bay,A big world of adventure for your little ones.,Gardens by the Bay welcomes your little ones with a big world of adventure at Far East Organization Children’s Garden. Let your children explore and play in a safe and engaging environment. Perfect for families with young children seeking a fun and educational experience. The Children's Garden offers a variety of play areas and activities designed to stimulate creativity and imagination. Discover the joy of outdoor play and create lasting memories with your family.,https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,activity,https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,True,Free,Free,0.0,0.0,0.0,6 to 12 years old,6.0,12.0,Available daily (except Mon - Wed),"Thu - Sun & PH, 9am - 7pm. School holidays: Tue - Sun, 9am - 7pm",1970-01-01T00:00:00,2099-12-31T00:00:00,Far East Organization Children's Garden,Water play,"water, wet, splash, gbtb, fountain","18 Marina Gardens Dr, Singapore 018953",Outdoor Playground,"[{""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/far-east-organization-childrens-garden.html"", ""filename"": ""Far_East_Organization_Children_s_Garden_1.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Far_East_Organization_Children_s_Garden_1.jpg"", ""source_credit"": ""gardensbythebay""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/far-east-organization-childrens-garden.html"", ""filename"": ""Far_East_Organization_Children_s_Garden_2.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Far_East_Organization_Children_s_Garden_2.jpg"", ""source_credit"": ""gardensbythebay""}]",682.0,103.86697199999999,1.2833078999999998,Marina South,Central Region,True,gardensbybay.json
Heritage Gardens,Gardens by the Bay,Learn about Singapore's history through plant stories.,"Learn about Singapore's diverse history and culture, told through the fascinating plant stories at the Heritage Gardens. Discover the rich heritage of Singapore through its botanical connections. Perfect for history buffs and nature enthusiasts seeking an enriching experience. The Heritage Gardens offer a unique perspective on Singapore's past and present. Explore the diverse plant life and learn about the cultural significance of each species.",https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,activity,https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,True,Free,Free,0.0,0.0,0.0,Suitable for all ages,0.0,99.0,Available daily,"Available daily, 5am – 2am",1970-01-01T00:00:00,2099-12-31T00:00:00,Heritage Gardens,,,"Marina South, Singapore 018953",Attraction,"[{""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/heritage-gardens.html"", ""filename"": ""Heritage_Gardens_1.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Heritage_Gardens_1.jpg"", ""source_credit"": ""gardensbythebay""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/heritage-gardens.html"", ""filename"": ""Heritage_Gardens_2.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Heritage_Gardens_2.jpg"", ""source_credit"": ""gardensbythebay""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/heritage-gardens.html"", ""filename"": ""Heritage_Gardens_3.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Heritage_Gardens_3.jpg"", ""source_credit"": ""gardensbythebay""}]",683.0,103.8643927,1.283271,Marina South,Central Region,True,gardensbybay.json
Kingfisher Wetlands,Gardens by the Bay,Explore the Kingfisher Wetlands Trail and discover ecosystems,"Up for an adventure? Explore the Kingfisher Wetlands Trail and discover its diverse ecosystems, plants, and animals! Immerse yourself in the natural beauty of this unique wetland habitat. Perfect for nature lovers and outdoor enthusiasts seeking an immersive experience. The Kingfisher Wetlands offer a glimpse into the rich biodiversity of Singapore's wetlands. Discover the wonders of nature and learn about the importance of conservation.",https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,activity,https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,True,Free,Free,0.0,0.0,0.0,Suitable for all ages,0.0,0.0,Available daily,"Available daily, 5am - 2am",1970-01-01T00:00:00,1970-01-01T00:00:00,Kingfisher Wetlands,,"gbtb, sightsee, scenic, nature",Marina South,Attraction,"[{""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/kingfisher-wetlands.html"", ""filename"": ""Kingfisher_Wetlands_1.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Kingfisher_Wetlands_1.jpg"", ""source_credit"": ""gardensbythebay""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/kingfisher-wetlands.html"", ""filename"": ""Kingfisher_Wetlands_2.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Kingfisher_Wetlands_2.jpg"", ""source_credit"": ""gardensbythebay""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/kingfisher-wetlands.html"", ""filename"": ""Kingfisher_Wetlands_3.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Kingfisher_Wetlands_3.jpg"", ""source_credit"": ""gardensbythebay""}]",684.0,103.86773699999999,1.2820075000000002,Marina South,Central Region,True,gardensbybay.json
Serene Garden,Gardens by the Bay,A tranquil respite inspired by Japanese Zen gardens.,"A welcome respite from hectic urban living, the tranquil Serene Garden is inspired by the minimalist concept of Japanese Zen gardens. Find peace and tranquility in this serene oasis. Perfect for those seeking a moment of calm and reflection. The Serene Garden offers a peaceful escape from the stresses of daily life. Discover the beauty of simplicity and find inner peace in this tranquil setting.",https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,activity,https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,True,Free,Free,0.0,0.0,0.0,Suitable for all ages,0.0,99.0,Available daily,"Available daily, 5am - 2am",1970-01-01T00:00:00,1970-01-01T00:00:00,Serene Garden,,"gbtb, scenic, garden, nature",Marina Gardens Dr,Attraction,"[{""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/serene-garden.html"", ""filename"": ""Serene_Garden_1.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Serene_Garden_1.jpg"", ""source_credit"": ""gardensbythebay""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/serene-garden.html"", ""filename"": ""Serene_Garden_2.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Serene_Garden_2.jpg"", ""source_credit"": ""gardensbythebay""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/serene-garden.html"", ""filename"": ""Serene_Garden_3.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Serene_Garden_3.jpg"", ""source_credit"": ""gardensbythebay""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/serene-garden.html"", ""filename"": ""Serene_Garden_4.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Serene_Garden_4.jpg"", ""source_credit"": ""gardensbythebay""}]",685.0,103.8608519,1.2784313,Marina South,Central Region,True,gardensbybay.json
Sun Pavilion,Gardens by the Bay,Walk through desert-like landscapes and marvel at plants.,"Take a walk through the Sun Pavilion and marvel at the amazing desert-like landscapes. With over 1,000 desert plants including the bizarre-looking Brain Cactus, there is so much to see! Explore the unique flora of arid environments. Perfect for nature enthusiasts and those seeking a unique botanical experience. The Sun Pavilion offers a fascinating glimpse into the world of desert plants. Discover the beauty and resilience of these remarkable species.",https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,activity,https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,True,Free,Free,0.0,0.0,0.0,Suitable for all ages,0.0,99.0,Available daily,"Available daily, 5am - 2am",1970-01-01T00:00:00,1970-01-01T00:00:00,Sun Pavilion,,"gbtb, desert , Cactus","18 Marina Gardens Dr, Gardens by the Bay, Singapore 018953",Attraction,"[{""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/content/dam/gbb-2021/image/things-to-do/attractions/sun-pavilion/main/masthead_sun_pavilion.jpg"", ""filename"": ""Sun_Pavilion_1.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Sun_Pavilion_1.jpg"", ""source_credit"": ""gardensbythebay""}]",686.0,103.86662299999999,1.2829791,Marina South,Central Region,True,gardensbybay.json
Supertree Grove,Gardens by the Bay,Home to 12 of the Gardens’ 18 iconic Supertrees.,"The Supertree Grove is home to 12 of the Gardens’ 18 iconic Supertrees as well as the 128m-long OCBC Skyway. Catch the free Garden Rhapsody light-and-sound show nightly and see the Supertrees ""dance"" to the music! Experience the magic of this iconic attraction. Perfect for families and individuals seeking a memorable visual spectacle. The Supertree Grove offers a unique blend of nature and technology. Discover the beauty of these towering structures and enjoy the nightly light show.",https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,activity,https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,True,Free,Free,0.0,0.0,0.0,Suitable for all ages,0.0,99.0,Available daily,"Available daily, 5am - 2am",1970-01-01T00:00:00,1970-01-01T00:00:00,Supertree Grove,,,"18 Marina Gardens Dr, Singapore 018953",Attraction,"[{""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/supertree-grove.html"", ""filename"": ""Supertree_Grove_1.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Supertree_Grove_1.jpg"", ""source_credit"": ""gardensbythebay""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/supertree-grove.html"", ""filename"": ""Supertree_Grove_2.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Supertree_Grove_2.jpg"", ""source_credit"": ""gardensbythebay""}]",687.0,103.86390569999999,1.2819616999999999,Marina South,Central Region,True,gardensbybay.json
The Canyon,Gardens by the Bay,World’s largest collection of sculptural rocks.,The Canyon features the world’s largest collection of sculptural rocks along a 400-metre trail inspired by the dragon. Explore this unique landscape and discover the beauty of natural rock formations. Perfect for nature lovers and those seeking a unique visual experience. The Canyon offers a fascinating glimpse into the world of geology and art. Discover the beauty of these sculptural rocks and enjoy a scenic walk along the trail.,https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,activity,https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,True,Free,Free,0.0,0.0,0.0,Suitable for all ages,0.0,99.0,Available daily,"Available daily, 5am - 2am",1970-01-01T00:00:00,2099-12-31T23:59:00,The Canyon,,"rock, scultpure","18 Marina Gardens Drive, Singapore 018953",Attraction,"[{""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/the-canyon.html"", ""filename"": ""The_Canyon_1.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/The_Canyon_1.jpg"", ""source_credit"": ""gardensbythebay""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/the-canyon.html"", ""filename"": ""The_Canyon_2.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/The_Canyon_2.jpg"", ""source_credit"": ""gardensbythebay""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/the-canyon.html"", ""filename"": ""The_Canyon_3.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/The_Canyon_3.jpg"", ""source_credit"": ""gardesnbythebay""}]",688.0,103.84265459999999,1.2787133,Marina South,Central Region,True,gardensbybay.json
World of Plants,Gardens by the Bay,Discover something new around every corner.,Discover something new around every corner at the World of Plants. Venture into this realm of voluptuous greenery and learn all about the spectacular myriad of tropical plants and the eco-systems they support. Explore the diverse flora of the tropics. Perfect for nature lovers and those seeking an immersive botanical experience. The World of Plants offers a fascinating glimpse into the world of tropical plants. Discover the beauty and diversity of these remarkable species.,https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,activity,https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,True,Free,Free,0.0,0.0,0.0,Suitable for all ages,0.0,99.0,Available daily,"Available daily, 5am - 2am",1970-01-01T00:00:00,1970-01-01T00:00:00,World of Plants,,,"18 Marina Gardens Dr, Singapore 018953",Attraction,"[{""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/world-of-plants.html"", ""filename"": ""World_of_Plants_1.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/World_of_Plants_1.jpg"", ""source_credit"": ""gardensbythebay""}, {""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/attractions/world-of-plants.html"", ""filename"": ""World_of_Plants_2.jpg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/World_of_Plants_2.jpg"", ""source_credit"": ""gardensbythebay""}]",689.0,103.74512759999999,1.3367875999999999,Marina South,Central Region,True,gardensbybay.json
Borealis,Gardens by the Bay,Enjoy fun under the sun for the whole family!,"Step into magic at Borealis, an immersive light-and-sound installation set amidst the iconic Supertree Grove at Gardens by the Bay. Created by Swiss artist Dan Acher and accompanied by composer Guillaume Desbois, this ethereal spectacle uses layers of light, mist and music to evoke the awe of the Northern Lights in Singapore’s night sky. Each display is unique, shaped by subtle changes in wind, humidity and temperature—so no two visits feel the same. It’s free to attend (though Supertree access may require a ticket during major events). Gather family or friends, bring your sense of wonder, and gaze up as the trees transform into a glowing dreamscape of colour and sound.",https://www.gardensbythebay.com.sg/en/things-to-do/attractions.html,activity,https://www.gardensbythebay.com.sg/en/things-to-do/calendar-of-events/borealis.html,True,Free,Free,0.0,0.0,0.0,Suitable for all ages,0.0,99.0,Recurring weekends & Mon,"Recurring weekends & Mon, 8pm - 8.30pm",1970-01-01T00:00:00,1970-01-01T00:00:00,Gardens by the Bay,,"light, show, scenic","18 Marina Gardens Dr, Singapore 018953",Attraction,"[{""url"": """", ""original_url"": ""https://www.gardensbythebay.com.sg/en/things-to-do/calendar-of-events/borealis.html"", ""filename"": ""Borealis_1.jpeg"", ""local_path"": ""events_output/attraction_add/images/user_uploads/Borealis_1.jpeg"", ""source_credit"": ""gardensbythebay""}]",690.0,103.8636132,1.2815683,Marina South,Central Region,True,gardensbybay.json
