id,title,organiser,blurb,description,guid,activity_or_event,url,is_free,price_display_teaser,price_display,price,min_price,max_price,age_group_display,min_age,max_age,datetime_display_teaser,datetime_display,start_datetime,end_datetime,venue_name,address_display,categories,images,longitude,latitude,checked,region,planning_area,label_tag,keyword_tag
11,Whoose Party Indoor Playground for Kids' Fun,Whoose Party,A children's wonderland with stimulating activities.,"Whoose Party Indoor Playground is a children's wonderland, filled with a variety of stimulating and entertaining activities. Our Crazy Go-Karts offer an exhilarating speed adventure, and the sandpit invites endless imaginative exploration. The trampoline allows kids to leap and bounce freely, while the Spray Ball Machine and Ball Projection games offer creative, interactive fun. The highlight of our playground is the 6.25-meter mega slide, ensuring thrilling descents for every child. Upstairs, toddlers find their haven with age-appropriate slides and toy cars, designed for safe, specialized play for two to three-year-olds. At Whoose Party, children not only relish unlimited fun but also experience the magic of our thoughtfully crafted birthday parties.",https://www.whooseparty.com/,activity,https://www.whooseparty.com/,FALSE,From $15,"$15 for 1 hour, $25 for 2 hours (1 adult + 1 chlid)",15,15,25,12 years old and below,0,12,Available daily,"Mon - Thu: 10:30 am – 8:00 pm, Fri - Sun: 10:30am – 9pm, PH: 10:30 am – 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Whoose Party Indoor Playground,"601 MacPherson Road, Mall, #02-09 Grantral Complex, Grantral, Singapore 368242",Indoor Playground,"[{""local_path"": ""events_output/event_1/images/user_uploads/Whoose_Party_Indoor_Playground_for_Kids__Fun_1.jpg"", ""filename"": ""Whoose_Party_Indoor_Playground_for_Kids__Fun_1.jpg"", ""original_url"": ""https://www.whooseparty.com/"", ""source_credit"": ""whooseparty""}, {""local_path"": ""events_output/event_1/images/user_uploads/Whoose_Party_Indoor_Playground_for_Kids__Fun_2.jpg"", ""filename"": ""Whoose_Party_Indoor_Playground_for_Kids__Fun_2.jpg"", ""original_url"": ""https://www.whooseparty.com/"", ""source_credit"": ""whooseparty""}, {""local_path"": ""events_output/event_1/images/user_uploads/Whoose_Party_Indoor_Playground_for_Kids__Fun_3.jpg"", ""filename"": ""Whoose_Party_Indoor_Playground_for_Kids__Fun_3.jpg"", ""original_url"": ""https://www.whooseparty.com/"", ""source_credit"": ""whooseparty""}, {""local_path"": ""events_output/event_1/images/user_uploads/Whoose_Party_Indoor_Playground_for_Kids__Fun_4.jpg"", ""filename"": ""Whoose_Party_Indoor_Playground_for_Kids__Fun_4.jpg"", ""original_url"": ""https://www.whooseparty.com/"", ""source_credit"": ""whooseparty""}, {""url"": ""https://static.wixstatic.com/media/5ba354_c39b7eab32844b3cb0cae2392fcee015~mv2.jpg/v1/fill/w_2000,h_2000,al_c,q_100,usm_0.66_1.00_0.01,enc_avif,quality_auto/5ba354_c39b7eab32844b3cb0cae2392fcee015~mv2.jpg"", ""source_credit"": ""Whoose Party""}]",103.8871132,1.3336995,TRUE,Central Region,Toa Payoh,,"soft play, whimsical"
12,Adventure HQ - Khatib: An Indoor Adventure Center,HomeTeamNS,Singapore's First Multi-Installation Indoor Adventure Centre,"Adventure HQ is Singapore’s first multi-installation indoor adventure centre, spanning 2,800 square metres with a height of 20 metres. It features thrilling rock climbing walls, an urban climb zone, a challenging ropes course, a 165-metre-long indoor cave, and the first-of-its-kind 2-tiered, 7.5-metre high indoor free-fall slide in Singapore. Perfect for families and thrill-seekers, Adventure HQ offers a unique and exciting experience for all ages. Explore the depths of the cave, conquer the heights of the climbing walls, and challenge yourself on the ropes course. An unforgettable adventure awaits!",https://www.hometeamns.sg/khatib/adventurehq/,activity,https://www.hometeamns.sg/khatib/adventurehq/,FALSE,From $40.74,From $40.74 - $79.46,40.74,40.74,79.46,"7 years and above (min height: 1.25m), Roll Glider: 13 years and above (min weight: 30kg)",5,0,Available daily (except Mon),"Weekdays (except Mon): 2pm - 9.30pm, Weekends, PH & eve, School Holidays: 10am - 9.30pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Adventure HQ,"2 Yishun Walk, Singapore 767944",Attraction,"[{""local_path"": ""events_output/event_1/images/user_uploads/Adventure_HQ___Khatib__An_Indoor_Adventure_Center_1.jpg"", ""filename"": ""Adventure_HQ___Khatib__An_Indoor_Adventure_Center_1.jpg"", ""original_url"": ""https://rollglider.com/project/adventure-hq/"", ""source_credit"": ""rollglider""}]",103.8311947,1.4142408,TRUE,North Region,Yishun,,"hometeamns, high element, zipline"
13,Wan To Play - Space at KINEX,Wan To Play,Explore a variety of family-friendly activities.,"Discover a wide range of activities and venues perfect for families and children. From indoor playgrounds to outdoor adventures, find the ideal place for your next family outing. We offer a curated selection of experiences designed to create lasting memories for you and your loved ones. Explore our offerings and plan your next adventure today. Find the best deals and promotions on family entertainment. Enjoy a seamless booking experience and create unforgettable moments with your family.",https://wantoplay.sg/,activity,https://wantoplay.sg/,FALSE,From $35,$35 for 2 hours,35,35,35,12 years old and below,0,12,Available daily,"Available daily, 9am - 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,KINEX,"11 Tanjong Katong Rd, #01-K1, KINEX 437157",Indoor Playground,"[{""local_path"": ""events_output/event_1/images/user_uploads/Wan_To_Play___Space_at_KINEX_1.webp"", ""filename"": ""Wan_To_Play___Space_at_KINEX_1.webp"", ""original_url"": ""https://wantoplay.sg/"", ""source_credit"": ""wantoplay""}]",103.8945585,1.3147695,TRUE,Central Region,Geylang,,"space, galaxy"
14,Wan To Play Candyland Sweet Adventure Awaits,WAN TO PLAY,WAN TO PLAY CANDYLAND SWEET ADVENTURE AWAITS,WAN TO PLAY CANDYLAND SWEET ADVENTURE AWAITS. This venue offers a fun and playful haven for children. It is designed to provide a sweet adventure for kids of all ages. The venue includes various play areas and amenities to ensure an enjoyable experience for families. Activities are tailored to engage children in a safe and stimulating environment. Parents can relax knowing their kids are having fun in a secure setting. The venue aims to create memorable moments for families through interactive play and creative exploration. It is a perfect destination for a day of fun and adventure.,https://wantoplay.sg/,activity,https://wantoplay.sg/,FALSE,From $22,"$22 for 1 hour, $35 for 2 hours",22,22,35,12 years old and below,0,12,Available daily,"Available daily, 9am - 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,West Coast Plaza,"SG, 154 W Coast Rd, #02-44/45 West Coast Plaza, Singapore 127371",Indoor Playground,"[{""local_path"": ""events_output/event_2/images/user_uploads/WAN_TO_PLAY_CANDYLAND_SWEET_ADVENTURE_AWAITS_1.webp"", ""filename"": ""WAN_TO_PLAY_CANDYLAND_SWEET_ADVENTURE_AWAITS_1.webp"", ""original_url"": ""https://wantoplay.sg/"", ""source_credit"": ""wantoplay""}]",103.766029,1.3037119,TRUE,West Region,Clementi,,"candy, whimsical"
15,Wantoplay - Sky Castle at Pasir Ris Mall,Wantoplay,Fun Playful Haven at multiple locations in Singapore,"This playful haven offers a variety of engaging activities for children. With multiple locations across Singapore, families can easily access a fun and stimulating environment. Each location features unique play areas designed to encourage creativity and physical activity. From climbing structures to interactive games, there's something for every child to enjoy. The facilities are well-maintained and prioritize safety, ensuring a worry-free experience for parents. Perfect for playdates, birthday parties, or a simple day out, this is a great place for kids to explore, learn, and have fun.",https://wantoplay.sg/,activity,https://wantoplay.sg/,FALSE,From $22,"$22 for 1 hour, $35 for 2 hours",22,22,35,12 years old and below,0,12,Available daily,"Available daily, 9am - 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Pasir Ris Mall,"7 Pasir Ris Central, #02-58, Singapore 519612",Indoor Playground,"[{""local_path"": ""events_output/event_3/images/user_uploads/Wantoplay___Sky_Castle_at_Pasir_Ris_Mall_1.webp"", ""filename"": ""Wantoplay___Sky_Castle_at_Pasir_Ris_Mall_1.webp"", ""original_url"": """", ""source_credit"": ""User Upload""}]",103.9488403,1.3735856,TRUE,East Region,Pasir Ris,,"castle, royal"
16,WanToPlay - Forest at i12 Katong Mall,Wan To Play,Enjoy hours of fun at Wan To Play's various zones.,"The venue is designed to cater to children of various ages, with activities suitable for toddlers to older kids. Parents can relax while their children explore and play in a safe and stimulating environment. The play areas are well-maintained and regularly updated to ensure a fun and exciting experience for all visitors. The venue also offers various amenities to enhance the overall experience, making it a great destination for families looking for a fun day out.",https://wantoplay.sg/,activity,https://wantoplay.sg/,FALSE,From $22,"$22 for 1 hour, $35 for 2 hours",22,22,35,12 years old and below,0,12,Available daily,"Available daily, 9am - 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,i12 Katong Mall,"112 E Coast Rd #04-03/04, Singapore 428802",Indoor Playground,"[{""local_path"": ""events_output/event_4/images/user_uploads/WanToPlay___Forest_at_i12_Katong_Mall_1.webp"", ""filename"": ""WanToPlay___Forest_at_i12_Katong_Mall_1.webp"", ""original_url"": ""https://wantoplay.sg/"", ""source_credit"": ""wantoplay""}]",103.9050645,1.3052002,TRUE,Central Region,Marine Parade,,"forest, nature"
17,Kidz Amaze SAFRA Toa Payoh - Unlimited Playtime Fun,SAFRA,Enjoy playtime at Kidz Amaze SAFRA Toa Payoh!,"Kidz Amaze at SAFRA Toa Payoh offers an engaging indoor playground experience for children. With various play zones designed to stimulate creativity and physical activity, kids can explore, climb, and slide in a safe environment. The playground features interactive elements and soft play areas suitable for different age groups, ensuring a fun-filled visit for the whole family. Parents can relax and supervise while children enjoy hours of entertainment. The facility is designed to promote active play and social interaction among children in a secure setting.",https://www.safra.sg/our-facilities/kidz-amaze,activity,https://www.safra.sg/our-facilities/kidz-amaze,TRUE,Free + Paid options,From $10.10 - $20.20 (Free for child below 2 months old),10.1,10.1,20.2,18 years old and below,0,18,Available daily,"Weekdays: 1pm - 7pm, Weekends & PH: 10am - 9pm, School holiday (weekday): 10am - 7pm",1970-01-01T00:00:00,2099-12-31T23:59:00,SAFRA Toa Payoh,"293 Lor 6 Toa Payoh, Singapore 319387",Indoor Playground,"[{""local_path"": ""events_output/event_1/images/user_uploads/Kidz_Amaze_SAFRA_Toa_Payoh___Unlimited_Playtime_Fun_1.jpg"", ""filename"": ""Kidz_Amaze_SAFRA_Toa_Payoh___Unlimited_Playtime_Fun_1.jpg"", ""original_url"": ""https://www.safra.sg/our-facilities/kidz-amaze/facilities-rates"", ""source_credit"": ""safra""}, {""local_path"": ""events_output/event_1/images/user_uploads/Kidz_Amaze_SAFRA_Toa_Payoh___Unlimited_Playtime_Fun_2.jpg"", ""filename"": ""Kidz_Amaze_SAFRA_Toa_Payoh___Unlimited_Playtime_Fun_2.jpg"", ""original_url"": ""https://www.safra.sg/our-facilities/kidz-amaze/facilities-rates"", ""source_credit"": ""safra""}]",103.8546724,1.3298245,TRUE,Central Region,Toa Payoh,,SAFRA
18,Kidz Amaze SAFRA Jurong - Unlimited Playtime Adventures,SAFRA,Enjoy playtime at Kidz Amaze SAFRA Jurong!,"Kidz Amaze at SAFRA Jurong provides an exciting indoor playground experience for children. Featuring a multi-level play structure with slides, tunnels, and climbing areas, kids can unleash their energy and imagination. The playground is designed to promote physical activity and social interaction in a safe and supervised environment. With dedicated play zones for different age groups, children of all ages can enjoy a fun-filled day. Parents can relax and supervise while their kids explore the various play elements. The facility offers a comfortable and engaging space for families to create lasting memories.",https://www.safra.sg/our-facilities/kidz-amaze,activity,https://www.safra.sg/our-facilities/kidz-amaze,TRUE,Free + Paid options,From $10.10 - $20.20 (Free for child below 1 year old),10.1,10.1,20,18 years old and below,0,0,Available daily,"Weekdays: 1pm - 7pm, Weekends & PH: 10am - 9pm, School holiday (weekday): 10am - 7pm",1970-01-01T00:00:00,2099-12-31T23:59:00,SAFRA Jurong,"333 Boon Lay Wy, SAFRA Jurong, Singapore 649848",Indoor Playground,"[{""local_path"": ""events_output/event_2/images/user_uploads/Kidz_Amaze_SAFRA_Jurong___Unlimited_Playtime_Adventures_1.jpg"", ""filename"": ""Kidz_Amaze_SAFRA_Jurong___Unlimited_Playtime_Adventures_1.jpg"", ""original_url"": ""https://www.safra.sg/our-facilities/kidz-amaze/facilities-rates"", ""source_credit"": ""safra""}, {""local_path"": ""events_output/event_2/images/user_uploads/Kidz_Amaze_SAFRA_Jurong___Unlimited_Playtime_Adventures_2.jpg"", ""filename"": ""Kidz_Amaze_SAFRA_Jurong___Unlimited_Playtime_Adventures_2.jpg"", ""original_url"": ""https://www.safra.sg/our-facilities/kidz-amaze/facilities-rates"", ""source_credit"": ""safra""}]",103.7061465,1.3353234,TRUE,West Region,Jurong West,,SAFRA
19,Splash @ Kidz Amaze SAFRA Punggol - Water Fun!,SAFRA,Enjoy playtime at Splash @ Kidz Amaze SAFRA Punggol!,"Splash @ Kidz Amaze at SAFRA Punggol offers a unique water play experience for children. With interactive water features, slides, and splash pads, kids can cool off and have a blast in a safe and supervised environment. The water playground is designed to promote sensory exploration and physical activity, encouraging children to engage in active play. Parents can relax and supervise while their kids enjoy the various water elements. The facility provides a refreshing and entertaining space for families to create unforgettable memories. Please check the website for any specific age restrictions.",https://www.safra.sg/our-facilities/kidz-amaze,activity,https://www.safra.sg/our-facilities/kidz-amaze,TRUE,Free + Paid options,From $10.10 - $22.25 (Free for child below 2 months old),10.1,10.1,22.25,18 years old and below,0,0,Available daily,"Weekdays: 1pm - 7pm, Weekends & PH: 10am - 9pm, School holiday (weekday): 10am - 7pm",1970-01-01T00:00:00,2099-12-31T23:59:00,SAFRA Punggol,"9 Sentul Cres, Level 3, Singapore 828654",Indoor Playground,"[{""local_path"": ""events_output/event_3/images/user_uploads/Splash___Kidz_Amaze_SAFRA_Punggol___Water_Fun__1.jpg"", ""filename"": ""Splash___Kidz_Amaze_SAFRA_Punggol___Water_Fun__1.jpg"", ""original_url"": ""https://www.safra.sg/our-facilities/kidz-amaze/facilities-rates"", ""source_credit"": ""safra""}, {""local_path"": ""events_output/event_3/images/user_uploads/Splash___Kidz_Amaze_SAFRA_Punggol___Water_Fun__2.jpg"", ""filename"": ""Splash___Kidz_Amaze_SAFRA_Punggol___Water_Fun__2.jpg"", ""original_url"": ""https://www.safra.sg/our-facilities/kidz-amaze/facilities-rates"", ""source_credit"": ""safra""}]",103.9064055,1.4102422,TRUE,North-East Region,Punggol,,"SAFRA, water, wet"
20,Endless Fun Awaits at F3 Theme Park Singapore,F3 Theme Park,Get your tickets and start the fun at F3 Theme Park!,"F3 Theme Park offers a variety of attractions and activities suitable for families and children. The park features play areas, rides, and interactive experiences designed to provide endless fun and entertainment. Visitors can enjoy a full day of adventure and create lasting memories. The park is designed to cater to a wide range of ages, ensuring that everyone has something to enjoy. With a focus on safety and engagement, F3 Theme Park is the perfect destination for a family outing. The park also offers various dining options and amenities to enhance the overall experience.",https://f3themepark.com/,activity,https://f3themepark.com/,FALSE,From $29.80,"$29.80 (1 hour), $39.80 (2hour), $49.80 (3 hour) for 1 adult + 1 child",29.8,29.8,49.8,14 years old and below,0,14,Available daily,"Mon: 2pm - 8pm, Tue - Sun: 10am - 8pm",1970-01-01T00:00:00,2099-12-31T23:59:00,F3 Theme Park,"371 Beach Rd, #02-16 City Gate, Singapore 199579",Indoor Playground,"[{""local_path"": ""events_output/event_1/images/user_uploads/Endless_Fun_Awaits_at_F3_Theme_Park_Singapore_1.webp"", ""filename"": ""Endless_Fun_Awaits_at_F3_Theme_Park_Singapore_1.webp"", ""original_url"": ""https://f3themepark.com/activities/"", ""source_credit"": ""f3themepark""}, {""local_path"": ""events_output/event_1/images/user_uploads/Endless_Fun_Awaits_at_F3_Theme_Park_Singapore_2.jpeg"", ""filename"": ""Endless_Fun_Awaits_at_F3_Theme_Park_Singapore_2.jpeg"", ""original_url"": ""https://f3themepark.com/activities/"", ""source_credit"": ""f3themepark""}, {""local_path"": ""events_output/event_1/images/user_uploads/Endless_Fun_Awaits_at_F3_Theme_Park_Singapore_3.jpeg"", ""filename"": ""Endless_Fun_Awaits_at_F3_Theme_Park_Singapore_3.jpeg"", ""original_url"": ""https://f3themepark.com/activities/"", ""source_credit"": ""f3themepark""}, {""local_path"": ""events_output/event_1/images/user_uploads/Endless_Fun_Awaits_at_F3_Theme_Park_Singapore_4.jpeg"", ""filename"": ""Endless_Fun_Awaits_at_F3_Theme_Park_Singapore_4.jpeg"", ""original_url"": ""https://f3themepark.com/activities/"", ""source_credit"": ""f3themepark""}, {""local_path"": ""events_output/event_1/images/user_uploads/Endless_Fun_Awaits_at_F3_Theme_Park_Singapore_5.jpeg"", ""filename"": ""Endless_Fun_Awaits_at_F3_Theme_Park_Singapore_5.jpeg"", ""original_url"": ""https://f3themepark.com/activities/"", ""source_credit"": ""f3themepark""}, {""local_path"": ""events_output/event_1/images/user_uploads/Endless_Fun_Awaits_at_F3_Theme_Park_Singapore_6.webp"", ""filename"": ""Endless_Fun_Awaits_at_F3_Theme_Park_Singapore_6.webp"", ""original_url"": ""https://f3themepark.com/activities/"", ""source_credit"": ""f3themepark""}]",103.8623895,1.3022946,TRUE,Central Region,Kallang,,"farmer, nature, harvest"
21,Bouncetopia at SAFRA CCK – Adventure Awaits Here,Kiztopia,Leap into a world of trampolines and bouncy castles!,"Gather your crew and leap into a world where trampolines and bouncy castles reign supreme! Bounce higher than ever, conquer thrilling slides, and dash through exhilarating challenges. Unleash your energy, let your imagination run wild, and turn every jump into a daring quest. It’s time to defy limits and make every bounce unforgettable! This family-friendly venue offers a safe and exciting environment for kids to burn off energy and have a blast. Parents can join in the fun or relax while the little ones explore the bouncy wonderland. Perfect for birthday parties and family outings.",https://kiztopia.com/brands/bouncetopia/,activity,https://kiztopia.com/brands/bouncetopia/,FALSE,From $19.80,From $19.80 - $28.80,19.8,19.8,28.8,17 years old and below,0,17,Available daily,"Sun – Thurs: 10am to 8pm, Fri – Sat, Eve of PH & PH: 10am to 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,SAFRA CCK,"28 Choa Chu Kang Dr, #01-04, Singapore 689964",Indoor Playground,"[{""url"": ""https://kiztopia.com/wp-content/uploads/2023/03/6-600x500.jpg"", ""source_credit"": ""Kiztopia""}, {""url"": ""https://kiztopia.com/wp-content/uploads/2023/03/7-600x500.jpg"", ""source_credit"": ""Kiztopia""}]",103.7470838,1.3882043,TRUE,West Region,Choa Chu Kang,,trampoline
22,Bouncetopia at Tengah Plantation Plaza Venue,Kiztopia,Explore Bouncetopia at Tengah Plantation Plaza today!,"Bouncetopia at Tengah Plantation Plaza offers a thrilling and safe environment for children to unleash their energy and have a blast. With a variety of bouncy castles, slides, and obstacle courses, kids can jump, climb, and explore to their heart's content. Our facility is designed to promote physical activity and social interaction, making it the perfect destination for families looking for a fun and engaging experience. Parents can relax and enjoy watching their children play in a secure and supervised setting. We cater to children of all ages and abilities, ensuring that everyone has a memorable time. Join us for a day of bouncing fun!",https://kiztopia.com/brands/bouncetopia/,activity,https://kiztopia.com/brands/bouncetopia/,FALSE,From S$19.80,From $19.80 - $28.80,19.8,19.8,28.9,17 years old and below,0,17,Available daily,"Sun – Thurs: 10am to 8pm, Fri – Sat, Eve of PH & PH: 10am to 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Tengah Plantation Plaza,"127 Plantation Cres, #04-08/09, Singapore 690127",Indoor Playground,"[{""local_path"": ""events_output/event_2/images/user_uploads/Bouncetopia_at_Tengah_Plantation_Plaza_Venue_1.jpg"", ""filename"": ""Bouncetopia_at_Tengah_Plantation_Plaza_Venue_1.jpg"", ""original_url"": ""https://kiztopia.com/branches/tengah-plantation-plaza/"", ""source_credit"": ""kiztopia""}, {""local_path"": ""events_output/event_2/images/user_uploads/Bouncetopia_at_Tengah_Plantation_Plaza_Venue_2.jpg"", ""filename"": ""Bouncetopia_at_Tengah_Plantation_Plaza_Venue_2.jpg"", ""original_url"": ""https://kiztopia.com/branches/tengah-plantation-plaza/"", ""source_credit"": ""kiztopia""}, {""local_path"": ""events_output/event_2/images/user_uploads/Bouncetopia_at_Tengah_Plantation_Plaza_Venue_3.jpg"", ""filename"": ""Bouncetopia_at_Tengah_Plantation_Plaza_Venue_3.jpg"", ""original_url"": ""https://kiztopia.com/branches/tengah-plantation-plaza/"", ""source_credit"": ""kiztopia""}, {""url"": ""https://kiztopia.com/wp-content/uploads/2025/04/Tengah-Website-Gallery_600-x-500px-01.jpg"", ""source_credit"": ""Kiztopia""}, {""url"": ""https://kiztopia.com/wp-content/uploads/2025/04/Tengah-Website-Gallery_600-x-500px-02.jpg"", ""source_credit"": ""Kiztopia""}]",103.7340756,1.3572881,TRUE,West Region,Tengah,,trampoline
23,Pororo Park Singapore - An Immersive Experience,Pororo Park Singapore,An indoor playground with Pororo & friends!,"Pororo Park Singapore offers an immersive and engaging experience for young children and families. Featuring themed play areas, live shows, and educational activities, the park provides a fun and safe environment for kids to explore and interact with their favorite Pororo characters. The park includes play zones, a cafe, and a retail area, making it a comprehensive destination for a family outing. Designed for children aged 1 to 8, Pororo Park Singapore aims to create memorable moments and foster learning through play. With various attractions and interactive exhibits, children can develop their social, emotional, and cognitive skills while having fun.",https://pororoparksg.com/,activity,https://pororoparksg.com/,FALSE,From $38,From $38 - $45,38,38,45,1 to 8 years old,1,8,Available daily,"Mon to Thu: 10am - 8pm,  Fri to Sun, Eve of PH & PH: 10am - 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Pororo Park Singapore,"Raffles Blvd, Marina Square, Singapore 039594",Indoor Playground,"[{""local_path"": ""events_output/event_1/images/user_uploads/Pororo_Park_Singapore___An_Immersive_Experience_1.jpg"", ""filename"": ""Pororo_Park_Singapore___An_Immersive_Experience_1.jpg"", ""original_url"": ""https://pororoparksg.com/"", ""source_credit"": ""pororoparksg""}, {""local_path"": ""events_output/event_1/images/user_uploads/Pororo_Park_Singapore___An_Immersive_Experience_2.jpg"", ""filename"": ""Pororo_Park_Singapore___An_Immersive_Experience_2.jpg"", ""original_url"": ""https://pororoparksg.com/"", ""source_credit"": ""pororoparksg""}, {""local_path"": ""events_output/event_1/images/user_uploads/Pororo_Park_Singapore___An_Immersive_Experience_3.jpg"", ""filename"": ""Pororo_Park_Singapore___An_Immersive_Experience_3.jpg"", ""original_url"": ""https://pororoparksg.com/"", ""source_credit"": ""pororoparksg""}, {""local_path"": ""events_output/event_1/images/user_uploads/Pororo_Park_Singapore___An_Immersive_Experience_4.jpg"", ""filename"": ""Pororo_Park_Singapore___An_Immersive_Experience_4.jpg"", ""original_url"": ""https://pororoparksg.com/"", ""source_credit"": ""pororoparksg""}]",103.8573824,1.2909336,TRUE,Central Region,Downtown Core,,"Pororo, marina square"
24,SuperPark Singapore,SuperPark,Tens of activities that will make you smile and move.,"SuperPark Singapore offers a multitude of activities designed to bring smiles and movement to visitors of all ages. This indoor activity park provides a wide range of engaging and energetic experiences suitable for families and individuals alike. From climbing walls and trampoline platforms to obstacle courses and interactive games, SuperPark is designed to promote physical activity and create memorable moments. It's a place where families can bond, kids can unleash their energy, and adults can rediscover their playful side through a variety of fun and challenging activities. The park emphasizes the importance of active play and offers a safe and stimulating environment for everyone to enjoy.",https://www.superpark.com.sg/,activity,https://www.superpark.com.sg/,FALSE,From $16.95,From $16.95 - $35.90,16.95,16.95,35.9,Suitable for all ages,0,99,Available daily,"Mon – Thu: 10.30am – 8pm,  Fri: 10.30am – 9pm, Sat/PH/School Holidays: 9am – 9pm, Sun: 9am – 8pm",1970-01-01T00:00:00,2099-12-31T23:59:00,SuperPark Singapore,"3 Temasek Blvd, #01-488 Suntec City Mall, Singapore 038983",Indoor Playground,"[{""local_path"": ""events_output/event_1/images/user_uploads/SuperPark_Singapore_1.jpg"", ""filename"": ""SuperPark_Singapore_1.jpg"", ""original_url"": ""https://www.superpark.com.sg/activities/"", ""source_credit"": ""superpark""}, {""local_path"": ""events_output/event_1/images/user_uploads/SuperPark_Singapore_2.jpg"", ""filename"": ""SuperPark_Singapore_2.jpg"", ""original_url"": ""https://www.superpark.com.sg/activities/"", ""source_credit"": ""superpark""}, {""local_path"": ""events_output/event_1/images/user_uploads/SuperPark_Singapore_3.jpg"", ""filename"": ""SuperPark_Singapore_3.jpg"", ""original_url"": ""https://www.superpark.com.sg/activities/"", ""source_credit"": ""superpark""}, {""local_path"": ""events_output/event_1/images/user_uploads/SuperPark_Singapore_4.jpg"", ""filename"": ""SuperPark_Singapore_4.jpg"", ""original_url"": ""https://www.superpark.com.sg/activities/"", ""source_credit"": ""superpark""}]",103.8586032,1.2961791,TRUE,Central Region,Downtown Core,,trampoline
25,Yooland Indoor Playground At Westgate: Fun Outer Space,Yooland,Yooland Indoor Playground at Westgate offers space play.,"Yooland Indoor Playground at Westgate is an indoor playground with an outer space theme. It offers a variety of play areas and activities for children of different ages. Kids can explore space-themed play structures, climb through tunnels, and slide down slides. There are also interactive games and activities that encourage learning and development. Yooland Indoor Playground is a great place for families to spend time together and have fun. It is suitable for children aged 2 to 12 years old. Parents can relax and watch their children play in a safe and supervised environment. The playground is designed to promote physical activity, creativity, and social interaction.",https://www.littledayout.com/yooland-indoor-playground-westgate/,activity,https://www.instagram.com/yooland_sg/?hl=en,TRUE,Free + Paid options,"$25 for 1 hour, $35 for 2 hours (1 adult + 1 child, free for child below 1 year old)",25,25,35,12 years old and below,0,12,Available daily,"Weekdays: 10am - 8pm, Weekends: 10am - 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Yooland Indoor Playground At Westgate,"3 Gateway Dr, Level 3, unit #36/37 Westgate, Singapore 608532",Indoor Playground,"[{""local_path"": ""events_output/event_1/images/user_uploads/Yooland_Indoor_Playground_At_Westgate__Fun_Outer_Space_1.jpg"", ""filename"": ""Yooland_Indoor_Playground_At_Westgate__Fun_Outer_Space_1.jpg"", ""original_url"": ""https://westgatesg.com/shop/yooland#photos"", ""source_credit"": ""westgatesg""}, {""local_path"": ""events_output/event_1/images/user_uploads/Yooland_Indoor_Playground_At_Westgate__Fun_Outer_Space_2.jpg"", ""filename"": ""Yooland_Indoor_Playground_At_Westgate__Fun_Outer_Space_2.jpg"", ""original_url"": ""https://westgatesg.com/shop/yooland#photos"", ""source_credit"": ""westgatesg""}, {""local_path"": ""events_output/event_1/images/user_uploads/Yooland_Indoor_Playground_At_Westgate__Fun_Outer_Space_3.jpg"", ""filename"": ""Yooland_Indoor_Playground_At_Westgate__Fun_Outer_Space_3.jpg"", ""original_url"": ""https://westgatesg.com/shop/yooland#photos"", ""source_credit"": ""westgatesg""}, {""local_path"": ""events_output/event_1/images/user_uploads/Yooland_Indoor_Playground_At_Westgate__Fun_Outer_Space_4.jpg"", ""filename"": ""Yooland_Indoor_Playground_At_Westgate__Fun_Outer_Space_4.jpg"", ""original_url"": ""https://westgatesg.com/shop/yooland#photos"", ""source_credit"": ""westgatesg""}]",103.7427835,1.3343784,TRUE,West Region,Jurong East,,
