ID,title,organiser,blurb,description,guid,activity_or_event,url,is_free,price_display_teaser,price_display,price,min_price,max_price,age_group_display,min_age,max_age,datetime_display_teaser,datetime_display,start_datetime,end_datetime,venue_name,address_display,categories,images,longitude,latitude,checked,region,planning_area,label tag,keyword tag
235,Qian Hu Fish Farm Integrated Service Provider,Qian Hu Fish Farm,Integrated service provider of ornamental fish.,"Qian Hu Fish Farm Trading is one an integrated “one-stop” service provider ranging from farming, importing, exporting and distributing of ornamental fish. There are also Seafood retail areas at the farm. One of the most successful local farming business, Qian Hu Fish Farm also have recreational and play areas such as the Traditional Long Kang Fishing Experience and visitors can also have a guided tour when visiting. The farm offers a unique opportunity to learn about the ornamental fish industry and see the various stages of fish farming. Visitors can also enjoy recreational activities such as the Traditional Long Kang Fishing Experience.",https://www.kranjicountryside.com/attractions,activity,https://www.kranjicountryside.com/attractions,TRUE,Free + Paid options,"Free entry. Longkang fishing: $7 for 30 mins, $12 for 1 hour.",0,0,12,Suitable for all ages,0,99,Available daily,"Weekdays: 9am – 6pm, Weekends: 9am – 7pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Qian Hu Fish Farm,"71 Jln Lekar, Singapore 698950",Attraction,"[{""local_path"": ""events_output/event_3/images/user_uploads/Qian_Hu_Fish_Farm_Integrated_Service_Provider_1.jpg"", ""filename"": ""Qian_Hu_Fish_Farm_Integrated_Service_Provider_1.jpg"", ""original_url"": ""https://qianhudiscover.com/visitors-info/"", ""source_credit"": ""qianhudiscover""}, {""local_path"": ""events_output/event_3/images/user_uploads/Qian_Hu_Fish_Farm_Integrated_Service_Provider_2.jpeg"", ""filename"": ""Qian_Hu_Fish_Farm_Integrated_Service_Provider_2.jpeg"", ""original_url"": ""https://qianhudiscover.com/visitors-info/"", ""source_credit"": ""qianhudiscover""}]",103.721658,1.385036,TRUE,West Region,Western Water Catchment,,"fish, farm"
236,Bollywood Farms: Countryside Surprises and Excitement,Bollywood Farms,"A farm full of surprises, excitement, and great fun!","Bollywood Farms, formerly known as Bollywood Veggies, started in 2000. The farm offers a range of surprises, excitement, and fun activities. It provides a unique countryside experience with a focus on local friendships and wider options. Visitors can explore the farm and enjoy the various offerings, making it a great destination for those seeking a fun and engaging experience. The farm is designed to be full of surprises and excitement, providing a memorable experience for all visitors. It's a place where families and friends can come together to enjoy the countryside.",https://www.kranjicountryside.com/attractions,activity,https://www.kranjicountryside.com/attractions,TRUE,Free + Paid options,Free entry. Dining options available,0,0,0,Suitable for all ages,0,99,Available daily (except Mon & Tue),"Wed – Fri:10am – 3pm, Weekends & PH: 7am – 6pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Bollywood Farms,"100 Neo Tiew Rd, Singapore 719026",Attraction,"[{""local_path"": ""events_output/event_4/images/user_uploads/Bollywood_Farms__Countryside_Surprises_and_Excitement_1.png"", ""filename"": ""Bollywood_Farms__Countryside_Surprises_and_Excitement_1.png"", ""original_url"": ""https://bollywoodfarms.com/contact-us/"", ""source_credit"": ""bollywoodfarms""}]",103.7165168,1.4184872,TRUE,North Region,Lim Chu Kang,,"vegetable, sustainable, farm, market"
237,Orchidville: Premium Orchids and Event Management,Orchidville,International orchid exporter with restaurant and event facilities.,"Orchidville is a leading international exporter of premium quality commercial orchids with extensive distribution networks. In addition to orchids, Orchidville has expanded into the Food and Beverage industry with its own restaurant, Forrest, located on the premises. It also offers expertise in Event Management, providing facilities for conferences, events, and functions. Orchidville combines the beauty of orchids with dining and event services, making it a unique destination for various occasions. Visitors can enjoy the serene environment and explore the diverse offerings available.",https://www.kranjicountryside.com/attractions,activity,https://www.kranjicountryside.com/attractions,TRUE,Free + Paid options,Free entry. Dining options available,0,0,0,Suitable for all ages,0,99,Recurring weekends and PH,"Recurring weekends and PH, 8:30am - 5:30pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Orchidville,"82 Sungei Tengah Rd, Singapore 698985",Attraction,"[{""local_path"": ""events_output/event_5/images/user_uploads/Orchidville__Premium_Orchids_and_Event_Management_1.jpg"", ""filename"": ""Orchidville__Premium_Orchids_and_Event_Management_1.jpg"", ""original_url"": ""https://www.orchidville.com.sg/"", ""source_credit"": ""orchidville""}, {""local_path"": ""events_output/event_5/images/user_uploads/Orchidville__Premium_Orchids_and_Event_Management_2.jpg"", ""filename"": ""Orchidville__Premium_Orchids_and_Event_Management_2.jpg"", ""original_url"": ""https://www.orchidville.com.sg/"", ""source_credit"": ""orchidville""}]",103.7321327,1.3887661,TRUE,West Region,Western Water Catchment,,"flower, nursery, farm"
238,Sungei Buloh Wetland Reserve Experience Nature,Sungei Buloh Wetland Reserve,Discover nature's beauty at Singapore’s first ASEAN park.,"Explore the rich biodiversity of Sungei Buloh Wetland Reserve, Singapore’s first ASEAN Heritage Park. Wander through the wetlands and an extensive mangrove forest. Originally opened as a Nature Park in 1993, 130 hectares were gazetted as a Nature Reserve in 2002. Perfect for families and nature enthusiasts, the reserve offers a unique opportunity to observe diverse flora and fauna in their natural habitat. Enjoy bird watching, guided walks, and educational exhibits suitable for all ages. Discover the wonders of the natural world in this serene and protected environment. A great place for kids to learn about nature.",https://www.kranjicountryside.com/attractions,activity,https://www.kranjicountryside.com/attractions,TRUE,Free,Free entry,0,0,0,Suitable for all ages,0,99,Available daily,"Available daily, 7am - 7pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Sungei Buloh Wetland Reserve,"301 Neo Tiew Cres, 718925",Attraction,"[{""local_path"": ""events_output/event_6/images/user_uploads/Sungei_Buloh_Wetland_Reserve_Experience_Nature_1.jpg"", ""filename"": ""Sungei_Buloh_Wetland_Reserve_Experience_Nature_1.jpg"", ""original_url"": ""https://www.nparks.gov.sg/visit/parks/park-detail/sungei-buloh-wetland-reserve"", ""source_credit"": ""nparks""}, {""local_path"": ""events_output/event_6/images/user_uploads/Sungei_Buloh_Wetland_Reserve_Experience_Nature_2.jpg"", ""filename"": ""Sungei_Buloh_Wetland_Reserve_Experience_Nature_2.jpg"", ""original_url"": ""https://www.nparks.gov.sg/visit/parks/park-detail/sungei-buloh-wetland-reserve"", ""source_credit"": ""nparks""}, {""url"": ""https://www.kranjicountryside.com/Sungei%20Buloh%20Wetland%20Reserves%201.jpeg"", ""source_credit"": ""Sungei Buloh Wetland Reserve""}]",103.723404,1.4464304,TRUE,North Region,Lim Chu Kang,,"nature, trek, reserves, heritage"
239,Hay Dairies Goat Farm: Singapore's Only Goat Farm,Hay Dairies Goat Farm,Visit Singapore's only goat farm since 1988!,"Hay Dairies is Singapore's only goat farm since 1988, with over 800 goats of mixed breed from Minnesota, United States. Farm tours are available, and you can purchase fresh goat milk during your visit. It's a great place for families to learn about goat farming and interact with the animals. The farm offers an educational experience for children and adults alike, providing insights into the dairy farming process. Perfect for families looking for a unique and engaging outing. Suitable for all ages, offering a fun and educational experience for everyone.",https://www.kranjicountryside.com/attractions,activity,https://www.kranjicountryside.com/attractions,TRUE,Free + Paid options,Free entry. $5 per packet for goat feeding.,0,0,5,Suitable for all ages,0,99,Available daily (except Tue),"Available daily (except Tue), 9am - 4pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Hay Dairies Goat Farm,"250 Neo Tiew Cres, Singapore 719866",Attraction,"[{""local_path"": ""events_output/event_7/images/user_uploads/Hay_Dairies_Goat_Farm__Singapore_s_Only_Goat_Farm_1.jpg"", ""filename"": ""Hay_Dairies_Goat_Farm__Singapore_s_Only_Goat_Farm_1.jpg"", ""original_url"": ""https://haydairies.sg/gallery/#iLightbox[gallery_image_1]/1"", ""source_credit"": ""haydairies""}, {""local_path"": ""events_output/event_7/images/user_uploads/Hay_Dairies_Goat_Farm__Singapore_s_Only_Goat_Farm_2.jpeg"", ""filename"": ""Hay_Dairies_Goat_Farm__Singapore_s_Only_Goat_Farm_2.jpeg"", ""original_url"": """", ""source_credit"": ""Mummysmarket""}, {""local_path"": ""events_output/event_7/images/user_uploads/Hay_Dairies_Goat_Farm__Singapore_s_Only_Goat_Farm_3.jpeg"", ""filename"": ""Hay_Dairies_Goat_Farm__Singapore_s_Only_Goat_Farm_3.jpeg"", ""original_url"": """", ""source_credit"": ""Mummysmarket""}]",103.7304524,1.4446057,TRUE,North Region,Lim Chu Kang,,"goat, farm, feed, milk"
240,Wings of Time Fireworks Symphony at Sentosa,Sentosa,A mesmerizing night show about friendship and courage.,"Wings of Time Fireworks Symphony is the only daily fireworks show in Singapore, combining water, laser, fire, and music to create a breathtaking spectacle. Situated on Siloso Beach, this award-winning show promises an unforgettable experience for all ages. Enjoy spellbinding laser, fire, and water effects set to a majestic soundtrack, complete with a jaw-dropping fireworks display. It's a fitting end to a day out at Sentosa, offering an awe-inspiring performance for families and visitors.",https://www.sentosa.com.sg/en/things-to-do/attractions/wings-of-time/,activity,https://www.sentosa.com.sg/en/things-to-do/attractions/wings-of-time/,FALSE,From $22,$22,22,22,22,Suitable for all ages,0,99,Available daily,"Available daily, 7.40pm & 8.40pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Siloso Beach,"60 Siloso Bch Walk, 098997",Attraction,"[{""local_path"": ""events_output/event_1/images/user_uploads/Wings_of_Time_Fireworks_Symphony_at_Sentosa_1.jpg"", ""filename"": ""Wings_of_Time_Fireworks_Symphony_at_Sentosa_1.jpg"", ""original_url"": ""https://www.sentosa.com.sg/en/things-to-do/attractions/wings-of-time/"", ""source_credit"": ""sentosa""}, {""local_path"": ""events_output/event_1/images/user_uploads/Wings_of_Time_Fireworks_Symphony_at_Sentosa_2.jpg"", ""filename"": ""Wings_of_Time_Fireworks_Symphony_at_Sentosa_2.jpg"", ""original_url"": ""https://www.sentosa.com.sg/en/things-to-do/attractions/wings-of-time/"", ""source_credit"": ""sentosa""}, {""local_path"": ""events_output/event_1/images/user_uploads/Wings_of_Time_Fireworks_Symphony_at_Sentosa_3.jpg"", ""filename"": ""Wings_of_Time_Fireworks_Symphony_at_Sentosa_3.jpg"", ""original_url"": ""https://www.sentosa.com.sg/en/things-to-do/attractions/wings-of-time/"", ""source_credit"": ""sentosa""}]",103.8170772,1.2513337,TRUE,Central Region,Southern Islands,,"show, light, spectacular, mesmerising, fireworks"
241,Explore the wonders at Singapore Oceanarium today,Singapore Oceanarium,Plan your visit to the amazing Singapore Oceanarium.,"Discover diverse marine habitats and fascinating sea creatures at the Singapore Oceanarium. Explore various zones, from shallow waters to the deep abyss, and learn about marine life conservation. Enjoy immersive programmes, augmented and virtual reality experiences, and dining options. The Oceanarium offers an educational and entertaining experience for families and visitors of all ages, with daily schedules, visitor guides, and accessibility information available. Go beyond the surface with an expert-led tour of iconic zones, behind-the-scenes insights and more. Witness a feeding session.",https://www.singaporeoceanarium.com/en.html?utm_source=google&utm_medium=cpc&utm_campaign=22769479864&utm_term=oceanarium&utm_content=762643183436&utm_network=g&utm_placement=&gad_source=1&gad_campaignid=22769479864&gbraid=0AAAAA-5YMuZhZl38ur9QCViQFhYRTGKtu&gclid=CjwKCAjwq9rFBhAIEiwAGVAZP2bko7q_I4K6H7enWJ9jaAILk9KLI4NyC_3sf7d4eM7hs_5IMeZJgRoCUa4QAvD_BwE,activity,https://www.singaporeoceanarium.com/en.html?utm_source=google&utm_medium=cpc&utm_campaign=22769479864&utm_term=oceanarium&utm_content=762643183436&utm_network=g&utm_placement=&gad_source=1&gad_campaignid=22769479864&gbraid=0AAAAA-5YMuZhZl38ur9QCViQFhYRTGKtu&gclid=CjwKCAjwq9rFBhAIEiwAGVAZP2bko7q_I4K6H7enWJ9jaAILk9KLI4NyC_3sf7d4eM7hs_5IMeZJgRoCUa4QAvD_BwE,FALSE,From $35,From $35 - $55,35,35,55,Suitable for all ages,0,99,Available daily,"Weekdays: 10am - 7pm, Weekends: 9am - 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Singapore Oceanarium,"24 Sentosa Gateway, Sentosa Island, 098137",Attraction,"[{""local_path"": ""events_output/event_1/images/user_uploads/Explore_the_wonders_at_Singapore_Oceanarium_today_1.jpg"", ""filename"": ""Explore_the_wonders_at_Singapore_Oceanarium_today_1.jpg"", ""original_url"": ""https://www.singaporeoceanarium.com/en.html?utm_source=google&utm_medium=cpc&utm_campaign=22769479864&utm_term=oceanarium&utm_content=762643183436&utm_network=g&utm_placement=&gad_source=1&gad_campaignid=22769479864&gbraid=0AAAAA-5YMuZhZl38ur9QCViQFhYRTGKtu&gclid=CjwKCAjwq9rFBhAIEiwAGVAZP2bko7q_I4K6H7enWJ9jaAILk9KLI4NyC_3sf7d4eM7hs_5IMeZJgRoCUa4QAvD_BwE"", ""source_credit"": ""singaporeoceanarium""}, {""url"": ""https://www.singaporeoceanarium.com/content/dam/sgo/images-and-videos/visit/programmes/educational/sgo-insider-experience/sgo-insider-experience-compressed.png"", ""source_credit"": ""Singapore Oceanarium""}, {""url"": ""https://www.singaporeoceanarium.com/content/dam/sgo/images-and-videos/visit/programmes/educational/animal-spotlight-sea-jellies/animal-spotlight-sea-jellies-compressed.png"", ""source_credit"": ""Singapore Oceanarium""}]",103.8205147,1.2583209,TRUE,Central Region,Southern Islands,,"aquarium, fish, shark, stingray, spacious, indoor, immersive"
242,Universal Studios Singapore,Resorts World Sentosa,"Experience cutting-edge rides, shows, and attractions.","Immerse yourself in a world of cinematic thrills at Universal Studios Singapore. Featuring cutting-edge rides, shows, and attractions based on blockbuster films and television series, the park offers a variety of themed zones, including Ancient Egypt, Lost World, and Far Far Away. Enjoy thrilling roller coasters, captivating live performances, and interactive experiences suitable for families and thrill-seekers alike. Explore the magic of the movies and create unforgettable memories in this world-class theme park. Perfect for families and movie enthusiasts.",https://www.rwsentosa.com/en/play/universal-studios-singapore?utm_source=google&utm_medium=cpc&utm_campaign=22693722680&utm_term=&utm_content=&utm_network=x&utm_placement=&gad_source=1&gad_campaignid=22687810002&gbraid=0AAAAA-2s2afrGwiBcKan5GOzrxt0l-v33&gclid=CjwKCAjw2vTFBhAuEiwAFaScwie6h6D3WmcNFCJ3cvwbfr6SvGdfmSgP4WXfMlb1Q7jwbz0u-4NajhoCyvQQAvD_BwE,activity,https://www.rwsentosa.com/en/play/universal-studios-singapore?utm_source=google&utm_medium=cpc&utm_campaign=22693722680&utm_term=&utm_content=&utm_network=x&utm_placement=&gad_source=1&gad_campaignid=22687810002&gbraid=0AAAAA-2s2afrGwiBcKan5GOzrxt0l-v33&gclid=CjwKCAjw2vTFBhAuEiwAFaScwie6h6D3WmcNFCJ3cvwbfr6SvGdfmSgP4WXfMlb1Q7jwbz0u-4NajhoCyvQQAvD_BwE,FALSE,From $59,From $59 - $79,59,59,79,Suitable for all ages,0,99,Available daily,"Available daily, 10am- 5pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Universal Studios Singapore,"8 Sentosa Gateway, 098269",Attraction,"[{""local_path"": ""events_output/event_1/images/user_uploads/Universal_Studios_Singapore_1.jpg"", ""filename"": ""Universal_Studios_Singapore_1.jpg"", ""original_url"": ""https://openverse.org/image/c97d479e-09ed-41f7-a74e-309c5b12e5a7?q=universal+studios+singapore&p=1"", ""source_credit"": ""w3i_yu""}, {""local_path"": ""events_output/event_1/images/user_uploads/Universal_Studios_Singapore_2.jpg"", ""filename"": ""Universal_Studios_Singapore_2.jpg"", ""original_url"": ""https://openverse.org/image/4f9de6e4-9f41-48d3-b854-719af8267489?q=universal+studios+singapore&p=20"", ""source_credit"": ""evelynlimcoach""}]",103.8238084,1.2540421,TRUE,Central Region,Southern Islands,,"theme park, roller coaster, mascot, character, thrilling, immersive, fun, experience"
243,Singapore Discovery Centre,Singapore Discovery Centre,"Discover Singapore's past, present and future.","Singapore Discovery Centre offers a variety of attractions and activities suitable for families and kids. Explore interactive exhibits showcasing Singapore's history and future, engage in thrilling rides, and enjoy educational shows. The centre features attractions such as the iWERKS Theatre, Battle Box, and various exhibitions that provide insights into Singapore's heritage and development. It's an engaging destination for families looking to learn and have fun together through interactive and immersive experiences. Perfect for a family day out, the Singapore Discovery Centre combines education with entertainment, making it a memorable experience for all ages.",https://www.defencecollectivesg.com/sdc/,activity,https://www.defencecollectivesg.com/sdc/,FALSE,From $8,From $8 to $10,8,8,10,Suitable for all ages,0,99,Available daily,"Weekdays: 12pm - 6pm, Weekends & PH & School Holidays: 11am - 7pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Singapore Discovery Centre,"510 Upper Jurong Rd, Singapore 638365",Attraction,"[{""url"": ""https://www.defencecollectivesg.com/wp-content/uploads/2022/05/SDC_BG_Facade_Day-10.jpg"", ""source_credit"": ""Singapore Discovery Centre""}, {""url"": ""https://www.defencecollectivesg.com/wp-content/uploads/2022/05/SDC_BG_The_Beginnings-1.jpg"", ""source_credit"": ""Singapore Discovery Centre""}, {""url"": ""https://www.defencecollectivesg.com/wp-content/uploads/2022/05/iWERKS-theatre-1.jpg"", ""source_credit"": ""Singapore Discovery Centre""}, {""url"": ""https://www.defencecollectivesg.com/wp-content/uploads/2022/05/SDC_BG_BLLB-1-1.jpg"", ""source_credit"": ""Singapore Discovery Centre""}, {""url"": ""https://www.defencecollectivesg.com/wp-content/uploads/2022/09/BLF-Escape-Room-The-Basement-scaled.jpg"", ""source_credit"": ""Singapore Discovery Centre""}]",103.6789432,1.3326904,TRUE,West Region,Jurong West,,"discover, gallery, museum, educational"
244,River Wonders: Wildlife and River Adventure Awaits,Mandai Wildlife Group,Explore aquatic habitats and wildlife encounters today!,"Embark on a captivating journey through River Wonders, where you'll discover the fascinating world of freshwater ecosystems and their inhabitants. Explore themed zones showcasing iconic rivers like the Amazon, Nile, and Mekong, encountering diverse wildlife along the way. Marvel at giant pandas, playful monkeys, and graceful manatees in immersive habitats. Enjoy interactive exhibits, educational presentations, and thrilling boat rides that bring you closer to nature. River Wonders offers an unforgettable experience for families and nature enthusiasts of all ages, fostering appreciation for conservation and biodiversity.",https://www.mandai.com/en/river-wonders.html,activity,https://www.mandai.com/en/river-wonders.html,FALSE,From $26.40,From $26.40 - $45,26.4,26.4,45,Suitable for all ages,0,99,Available daily,"Available daily, 10am – 7pm",1970-01-01T00:00:00,2099-12-31T23:59:00,River Wonders,"80 Mandai Lake Rd, Singapore 729826",Attraction,"[{""local_path"": ""events_output/event_1/images/user_uploads/River_Wonders__Wildlife_and_River_Adventure_Awaits_1.jpg"", ""filename"": ""River_Wonders__Wildlife_and_River_Adventure_Awaits_1.jpg"", ""original_url"": ""https://www.mandai.com/en/river-wonders.html"", ""source_credit"": ""mandai""}, {""local_path"": ""events_output/event_1/images/user_uploads/River_Wonders__Wildlife_and_River_Adventure_Awaits_2.jpg"", ""filename"": ""River_Wonders__Wildlife_and_River_Adventure_Awaits_2.jpg"", ""original_url"": ""https://www.mandai.com/en/river-wonders.html"", ""source_credit"": ""mandai""}, {""local_path"": ""events_output/event_1/images/user_uploads/River_Wonders__Wildlife_and_River_Adventure_Awaits_3.jpg"", ""filename"": ""River_Wonders__Wildlife_and_River_Adventure_Awaits_3.jpg"", ""original_url"": ""https://www.mandai.com/en/river-wonders.html"", ""source_credit"": ""mandai""}]",103.792602,1.4036761,TRUE,North Region,Central Water Catchment,,"manatee, panda, fish, animals, nature, zoo, wildlife, safari"
245,Children's Museum Singapore: Fun For Everyone!,Children's Museum Singapore,Fun activities for everyone at Children's Museum.,"The Children's Museum Singapore offers a variety of engaging and educational exhibits designed for children of all ages. With interactive displays and hands-on activities, kids can explore different cultures, learn about history, and discover the world around them. The museum features themed galleries that cater to various interests, from art and science to nature and technology. Families can enjoy a fun-filled day of learning and play together, creating lasting memories. The museum aims to inspire curiosity, creativity, and a love for learning in children through its immersive and interactive environment. Perfect for a family day out.",https://www.heritage.sg/childrensmuseum,activity,https://www.heritage.sg/childrensmuseum,TRUE,Free,"Free for Singaporeans & PR, Foreign residents from $10 - $40",0,0,40,2 to 12 years old (Adults are only allowed in the museum when accompanying children),2,12,Available daily (except Mon),"Available daily (except Mon), 9am - 5:45pm (bookings required)",1970-01-01T00:00:00,2099-12-31T23:59:00,Children's Museum Singapore,"23-B Coleman St, Singapore 179807","Attraction, Indoor Playground","[{""local_path"": ""events_output/event_1/images/user_uploads/Children_s_Museum_Singapore__Fun_For_Everyone__1.png"", ""filename"": ""Children_s_Museum_Singapore__Fun_For_Everyone__1.png"", ""original_url"": ""https://www.heritage.sg/childrensmuseum"", ""source_credit"": ""heritage""}, {""local_path"": ""events_output/event_1/images/user_uploads/Children_s_Museum_Singapore__Fun_For_Everyone__2.jpg"", ""filename"": ""Children_s_Museum_Singapore__Fun_For_Everyone__2.jpg"", ""original_url"": ""https://www.heritage.sg/childrensmuseum"", ""source_credit"": ""heritage""}, {""local_path"": ""events_output/event_1/images/user_uploads/Children_s_Museum_Singapore__Fun_For_Everyone__3.JPG"", ""filename"": ""Children_s_Museum_Singapore__Fun_For_Everyone__3.JPG"", ""original_url"": ""https://www.heritage.sg/childrensmuseum"", ""source_credit"": ""heritage""}]",103.8487246,1.2929269,TRUE,Central Region,Museum,,"museum, indoor, kid, play"
246,Singapore Flyer: Free entry for kids during school holidays,Singapore Flyer,Explore Singapore's story with panoramic city views.,"Embark on an exciting journey through Singapore’s story. Explore Singapore’s fascinating story and enjoy a spectacular family time with your loved ones. Begin your journey with centuries of rich history through the corridors of Time Capsule, an immersive prelude blending interactive exhibits and cinematic storytelling with a personalised web app experience. Your adventure continues aboard the Singapore Flyer, where panoramic views from 165 metres above reveal the city's inspiring transformation. Unlock extra fun on board with the FLYER360 mobile app powered by augmented reality (AR).",https://www.singaporeflyer.com/en/ticket/free-entry-for-kids,event,https://www.singaporeflyer.com/en/ticket/free-entry-for-kids,FALSE,From $40,$40 for 1 adult + 1 child (Singapore resident/PR only),40,40,40,3 years old and above,3,99,01 Sep - 12 Oct,"01 September 2025 - 12 October 2025, 10am - 9:30pm",2025-09-01T10:00:00,2025-10-12T21:30:00,Singapore Flyer,"30 Raffles Ave., Level 3 Singapore Flyer, Singapore 039803",Attraction,"[{""url"": ""https://www.singaporeflyer.com/storage/tickets/September2025/TmvysD8h3px7bRLacjPS.png"", ""source_credit"": ""Singapore Flyer""}, {""url"": ""https://www.singaporeflyer.com/storage/tickets/September2025/6TgwgYo37foi4VTm8dAr.jpg"", ""source_credit"": ""Singapore Flyer""}, {""url"": ""https://www.singaporeflyer.com/storage/tickets/September2025/LJU4WL4lgpTdbug7fK8d.jpg"", ""source_credit"": ""Singapore Flyer""}]",103.8632483,1.2895301,TRUE,Central Region,Downtown Core,,"ferris wheel, skyline, scenic"
247,Nature Kindred (Indoor) Kid Farm Adventures,Nature Kindred,Parent-child bonding adventures at Nature Kindred.,"Nature Kindred offers unique experiences through nature activities. Join us for meaningful parent-child bonding adventures at our Indoor Kid Farm. Open every Saturday, Sunday & Certain Public holidays. Time slot: 10.30am -5.30pm. Activities include interacting with farm animals, learning about nature, and engaging in fun, educational play. Perfect for families looking to spend quality time together in a natural setting. Our farm provides a safe and stimulating environment for children to explore and discover the wonders of nature. We offer a variety of hands-on experiences that promote learning and development.",https://www.naturekindred.com/experience-1,activity,https://www.naturekindred.com/experience-1,TRUE,Free + Paid options,"Free entry, activities varies from $18 - $118",0,0,118,12 years old and below,0,12,Recurring weekends,"Recurring weekends and selected PH, 10.30am -5.30pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Nature Kindred (Indoor) Kid Farm,"65 Sungei Tengah Rd, Singapore 699000",Attraction,"[{""local_path"": ""events_output/event_1/images/user_uploads/Nature_Kindred__Indoor__Kid_Farm_Adventures_1.webp"", ""filename"": ""Nature_Kindred__Indoor__Kid_Farm_Adventures_1.webp"", ""original_url"": ""https://www.naturekindred.com/gallery#57baeca670b22"", ""source_credit"": ""naturekindred""}, {""local_path"": ""events_output/event_1/images/user_uploads/Nature_Kindred__Indoor__Kid_Farm_Adventures_2.webp"", ""filename"": ""Nature_Kindred__Indoor__Kid_Farm_Adventures_2.webp"", ""original_url"": ""https://www.naturekindred.com/gallery#57baeca670b22"", ""source_credit"": ""naturekindred""}, {""local_path"": ""events_output/event_1/images/user_uploads/Nature_Kindred__Indoor__Kid_Farm_Adventures_3.webp"", ""filename"": ""Nature_Kindred__Indoor__Kid_Farm_Adventures_3.webp"", ""original_url"": ""https://www.naturekindred.com/gallery#57baeca670b22"", ""source_credit"": ""naturekindred""}]",103.726462,1.384622,TRUE,West Region,Western Water Catchment,,"educational, nature"
248,Dig Dig Land,Nature Kindred,Hands-on construction play for curious kids,"Get ready for a one-of-a-kind construction adventure! Dig Dig Land is an outdoor playground where kids can live out their builder dreams across seven exciting zones. Little ones can hop into kid-sized excavators and cranes to scoop, lift, and move just like real construction pros. They’ll love digging and sculpting in the sand pits, zooming around in ride-on trucks, or trying their hand at remote-controlled vehicles. For imaginative play, there’s a mini workshed with safe tools and even a fish-tank DIY station to switch things up. With so much to explore, Dig Dig Land is the ultimate spot for kids to dig, drive, and discover through hands-on fun!",https://www.naturekindred.com/experience-1,activity,https://www.naturekindred.com/work-zone#,FALSE,From $38,$38,38,38,38,12 years old and below,0,12,Recurring Fri and Weekends,"Fri: 4.30pm & 6pm, Weekends & selected PH: 9am - 6pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Dig dig land,"2 Jurong Gateway Rd, Singapore 608512",Outdoor Playground,[],103.7454898,1.3369589,TRUE,West Region,Jurong East,,"construction, excavator, crane, play, nature, outdoor"
249,Rainforest Wild Asia ,Mandai Wildlife Group,Go wild this SG60 Let’s go wild together this SG60!,"Explore the wonders of Rainforest Wild Asia with roarsome deals and experiences. Discover diverse wildlife and immerse yourself in the beauty of nature. Perfect for families and nature enthusiasts seeking an unforgettable adventure. Enjoy interactive exhibits, captivating shows, and up-close encounters with fascinating animals. Create lasting memories as you embark on a journey through lush rainforests and vibrant ecosystems. ",https://www.mandai.com/en/rainforest-wild-asia.html,activity,https://www.mandai.com/en/rainforest-wild-asia.html,FALSE,From $26.40,From $26.40 - $45,26.4,26.4,45,Suitable for all ages,0,99,Available daily,"Available daily, 9am - 6pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Rainforest Wild Asia,"20 Mandai Lake Rd, Singapore 729825",Attraction,"[{""local_path"": ""events_output/event_1/images/user_uploads/Rainforest_Wild_Asia__1.jpg"", ""filename"": ""Rainforest_Wild_Asia__1.jpg"", ""original_url"": ""https://www.mandai.com/en/see-and-do/treks-and-trails/rainforest-wild-asia/forest-treks.html"", ""source_credit"": ""mandai""}, {""local_path"": ""events_output/event_1/images/user_uploads/Rainforest_Wild_Asia__2.jpg"", ""filename"": ""Rainforest_Wild_Asia__2.jpg"", ""original_url"": ""https://www.mandai.com/en/see-and-do/treks-and-trails/rainforest-wild-asia/forest-treks.html"", ""source_credit"": ""mandai""}, {""url"": ""https://www.mandai.com/content/dam/mandai/rainforest-wild-asia/events-and-promotions/your-love-meets-the-wild/your-love-meets-the-wild-desktop-1920x894.jpg.transform/compress/resize1280/img.jpg"", ""source_credit"": ""Mandai Wildlife Group""}]",103.7809305,1.4092358,TRUE,North Region,Central Water Catchment,,"animals, nature, zoo, wildlife, safari, immersive"
