Name,Address,Phone,Website,Category
Wonderlit Singapore,"442 Orchard Road #03-08 to #03-12, Claymore Connect, Singapore 238879",+65 6980 5670,http://wonderlitworld.com/,"point_of_interest,establishment"
MEGAPHONICS ENRICHMENT CENTRE,"01-12 Bukit Batok Central, Block 637, Singapore 650637",+65 9106 1177,http://megaphonics.com.sg/,"point_of_interest,establishment"
Sparkanauts,"180 Kitchener Rd, #09-07/08 City Square Mall, Singapore 208539",+65 6509 0071,https://sparkanauts.com/,"childrens_camp,point_of_interest,establishment"
Brainy Child Montessori Learning Centre,"150 Orchard Rd, #05-38/43 Orchard Plaza, Singapore 238841",+65 6733 7669,https://www.brainychildmontessori.sg/,"preschool,school,child_care_agency,point_of_interest,establishment"
Arty Learning @ Hougang | Enrichment Classes for Kids,"806 Hougang Central, #04-146, Singapore 530806",+65 8821 4153,https://artylearning.com/,"point_of_interest,establishment"
The Phonics School,"Blk 505B Bishan St.11, #01-422, Singapore 570505",+65 8071 0355,,"point_of_interest,establishment"
I Love Learning Achievement Center (Jurong East),"2 Venture Dr, #06-15 Vision Exchange, Singapore 608526",+65 9711 8963,http://www.ilovelearning.com.sg/,"point_of_interest,establishment"
School of Concepts (Our Tampines Hub),"1 Tampines Walk, #05-31, Singapore 528523",+65 9238 3919,https://www.schoolofconcepts.sg/schools?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11790845986480410382,"point_of_interest,establishment"
MEGAPHONICS ENRICHMENT CENTRE JURONG WEST,"Blk 502 Jurong West Ave 1, #04-819, Singapore 640502",+65 9106 1177,http://www.megaphonics.com.sg/,"point_of_interest,establishment"
Mind Stretcher Woodleigh,"11 Bidadari Park Dr, #01-10/11, Singapore 367803",+65 8882 3029,https://www.mindstretcher.com/,"point_of_interest,establishment"
The Eton Academy by Etonhouse (The Woodleigh Mall),"11 Bidadari Park Dr, #01-12/13, Singapore 367803",+65 6994 3002,https://theetonacademy.com.sg/,"point_of_interest,establishment"
KRTC Toa Payoh - Kent Ridge Education Hub,"500 Lor 6 Toa Payoh, #04-32 Biz 1, HDB Hub, Singapore 310500",+65 6250 0444,http://www.krtc.com.sg/,"point_of_interest,establishment"
Winshire Educational Centre,"122 Bedok North Street 2, #01-100, Singapore 460122",+65 6446 6771,https://www.facebook.com/WinshireEducationCentre1996/,"point_of_interest,establishment"
The Weekend School,"406A Northshore Dr, Singapore 821406",,http://www.theweekendschool.com/,"point_of_interest,establishment"
Little Sunshine Learning Centre,"50 E Coast Rd, #01-98, Singapore 428769",+65 9190 2778,http://www.lilsunshine.net/,"point_of_interest,establishment"
Paced Learning Academy,"Blk 203 Hougang St 21, #04-95, Singapore 530203",+65 8932 6269,http://www.pacedlearningacademy.com/,"point_of_interest,establishment"
Kidz Literacy Cove,"3A Kensington Park Rd, Singapore 557255",+65 9780 0786,https://www.kidzliteracycove.com/,"preschool,child_care_agency,point_of_interest,school,establishment"
FUN Commune,"82 Lor 23 Geylang, #06-04 Atrix, Singapore 388409",+65 9363 6162,https://www.funcommune.com/,"child_care_agency,point_of_interest,establishment"
Learners Exploratorium,"13 Haig Rd, #01-153, Singapore 430013",+65 6802 7696,http://learnersexploratorium.wordpress.com/,"child_care_agency,point_of_interest,school,establishment"
Hi-5 House of Learning,"17 Joo Seng Rd, Singapore 360017",+65 6728 6866,https://school.hi-5world.com/,"point_of_interest,school,establishment"
Dudu: Chinese Adaptive Reading Programme for Multilingual Kids,"33 Ubi Avenue 3 #08-72, Vertex, Tower A, Singapore 408868",+65 6848 8900,https://dudu.town/,"consultant,point_of_interest,establishment"
Swords & Stationery Dyslexia Therapy Centre,"1 Pemimpin Dr, #12-03, Singapore 576151",+65 9029 1678,https://swordsandstationery.com/,"consultant,point_of_interest,establishment"
ThinkersBox Development,"North Bridge Centre, 420 N Bridge Rd, #03-02/03 Opposite National Library, Singapore 188727",+65 6773 4886,https://thinkersbox.com/,"point_of_interest,establishment"
BlueTree Education (Orchard),"190 Clemenceau Ave, #02-01/05 Singapore Shopping Centre, Singapore 239924",+65 9616 0312,http://www.bluetreeeducation.com/,"consultant,point_of_interest,establishment"
I-REVIVE SG,"33 Ubi Ave 3, Tower A #05-49, Singapore 408868",+65 8767 8827,https://www.facebook.com/iReviveSG/,"point_of_interest,establishment"
Heguru Education @ SingPost Centre Paya Lebar,"10 Eunos Rd 8, #01-210 SingPost Centre, Singapore 408600",+65 6346 4646,http://www.hegurueducation.com.sg/,"point_of_interest,establishment"
BriliBrain Edu Chinese Tuition Centre (给力华文),"18 Ah Hood Rd, #06-53 Hiap Hoe Building, Office Block within Zhongshan Mall, Singapore 329983",+65 9726 1149,https://www.brilibrainedu.com/,"point_of_interest,establishment"
Puzzles Education Studio,"371 Beach Rd, #B1-11, Singapore 199597",,https://puzzleseducationstudio.com/,"point_of_interest,school,establishment"
Studyroom,"206 Toa Payoh N, Block 206, Singapore 310206",,https://studyroom.sg/,"point_of_interest,establishment"
The Physics Cafe PMC Paya Lebar Singpost Centre,"10 Eunos Rd 8, #01-207 SingPost Centre, Singapore 408600",+65 9005 1733,http://www.pmc.sg/,"point_of_interest,establishment"
MindChamps MindSpace @ The Woodleigh Mall | After School Student Care for P1-P5 | MindChamps Enrichment & PSLE for P1-P6,"11 Bidadari Park Drive, Mall, #02-35/36 The Woodleigh, Singapore 367803",+65 8422 9889,https://mindspace.mindchamps.org/mindspace-the-woodleigh-mall/,"point_of_interest,establishment"
Read Think Learn Education Hub / After School Care (Geylang West / Kallang),"1205 Upper Boon Keng Rd, #02-01, Singapore 387311",+65 6909 3780,https://readthinklearn.education/tuition-enrichment/after-school-care/,"child_care_agency,point_of_interest,establishment"
Enlightened Hand Learning Hub,"130 Tembeling Rd, Singapore 423639",+65 6600 7666,http://www.enlightenedhand.com/,"school,child_care_agency,point_of_interest,establishment"
Seeds Learning Centre - Enrichment,"252 Tembeling Rd, #02-07A Tembeling Centre, Singapore 423731",+65 9137 4328,https://www.seedslearning.com.sg/enrichment/,"school,child_care_agency,point_of_interest,establishment"
Read Think Learn Education Hub / Tuition Centre,"45 Boon Keng Rd, #02-05, Singapore 339771",+65 6909 3780,http://readthinklearn.education/,"child_care_agency,point_of_interest,establishment"
MindChamps Enrichment Academy,"Blk 192 Lor 4 Toa Payoh, #02-674, Singapore 310192",+65 8020 9498,https://www.mindchamps.org/enrichment/,"point_of_interest,establishment"
Thought and Words Learning Centre,"46 E Coast Rd, #07-01 Eastgate, Singapore 428766",+65 6241 5531,http://www.thoughtandwords.com.sg/,"school,point_of_interest,establishment"
Kinderland Academy @ Yio Chu Kang,"449 Yio Chu Kang Rd, Singapore 805946",+65 6881 8818,https://kinderland.com.sg/kinderland-yio-chu-kang/,"preschool,farm,wholesaler,school,child_care_agency,point_of_interest,establishment"
Kinderland International Education Pte Ltd,"87 Marine Parade Central, #03-202, Singapore 440087",+65 6881 8818,https://kinderland.com.sg/,"preschool,school,child_care_agency,point_of_interest,establishment"
LoveKids Speech and Drama Serangoon Gardens,"24A Maju Ave, Singapore 556696",+65 6288 0508,http://www.lovekids.com.sg/,"point_of_interest,establishment"
Splendore Montessori,"231, Block A Mountbatten Rd, #02-03B, Singapore 397999",+65 8424 9881,http://www.splendoremontessori.com/,"point_of_interest,establishment"
Happy Train Pte Ltd (Bugis),"87 Beach Rd, #05-01 Chye Sing Building, Singapore 189695",+65 6336 5080,http://www.happytrain.com.sg/,"point_of_interest,establishment"
AmeriCare Child Development Centre,"541 Geylang Rd, #02-01, Singapore 389496",+65 6344 4424,https://americarepreschool.com/,"preschool,farm,wholesaler,school,child_care_agency,point_of_interest,establishment"
Super Talent Childcare @ Macpherson 122,"122 Paya Lebar Way, #01-2903, Singapore 381122",+65 6844 3550,https://supertalent.com.sg/,"child_care_agency,point_of_interest,establishment"
Canossaville Children & Community Services,"1 Sallim Road (Gate 3, Sallim Rd, Singapore 387621",+65 6748 5777,http://canossaville.org.sg/,"point_of_interest,establishment"
Fun With Abacus,"34 Cassia Cres, #01-80, Singapore 390034",+65 9786 5383,http://funwithabacus.com/,"point_of_interest,establishment"
Kodecoon Academy,"10 Eunos Road 8 03-01/03, Singpost Centre, Centre Lobby, Singapore 408600",+65 8950 3022,http://www.kodecoon.com/,"summer_camp_organizer,child_care_agency,point_of_interest,establishment"
Tots On Tour Singapore,"7 Lor 29 Geylang, #03-00, Singapore 388063",+65 8488 4930,http://www.totsontour.sg/,"point_of_interest,establishment"
Little Forest,"396 Joo Chiat Pl, #02-03 The Yards, Singapore 428079",+65 9191 4259,http://www.littleforest.sg/,"playground,preschool,child_care_agency,school,point_of_interest,establishment"
Next Level Enrichment Tuition,"Blk 709 Ang Mo Kio Ave 8, #02-2593, Singapore 560709",+65 8262 2767,http://www.nextlevelenrichment.com/,"point_of_interest,establishment"
Heguru @ City Square Mall,"180 Kitchener Rd, #06 - 01, Singapore 208539",+65 6509 1961,https://hegurucenter.com.sg/,"school,point_of_interest,establishment"
EDOOVO | Online Enrichment Classes,"2 MacTaggart Rd, #05-01, Singapore 368078",+65 9627 8610,https://www.edoovo.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"point_of_interest,establishment"
The Oak Tree Enrichment Centre,"607 Bukit Timah Rd, #02-01, Singapore 269708",+65 6469 0660,http://www.theoaktree.edu.sg/,"point_of_interest,establishment"
EduFirst Learning Centre (Toa Payoh) | Tuition & Student Care Centre,"93 Toa Payoh Central, #01-04, Singapore 319194",+65 9106 7716,https://www.edufirst.com.sg/,"point_of_interest,establishment"
Kiztopia Prestige,"58 Kim Yam Rd, #04-01, Singapore 239359",+65 8201 0393,https://kiztopia.com/branches/kiztopia-prestige/,"playground,point_of_interest,establishment"
The Alternative Story (Parkway Centre),"1 Marine Parade Central, #10-09, Singapore 449408",,https://thealternativestory.com/,"point_of_interest,establishment"
Ideas@Play Enrichment Centre,"Blk 510 Bedok North Street 3, #01-21, Singapore 460510",+65 8752 1996,http://www.ideasatplay.com.sg/,"point_of_interest,establishment"
Cambridge @ MacPherson,"50 MacPherson Rd, #01-01 and #03-01 Amazana Building, Singapore 348471",+65 9168 2816,https://cambridge.school/macpherson/,"preschool,child_care_agency,point_of_interest,school,establishment"
Cherie Hearts @ Mountbatten Pte Ltd,"231 Mountbatten Rd, #01-01 Block G, Singapore 397999",+65 6242 3828,https://cheriehearts.com.sg/centres/childcare-mountbatten/,"point_of_interest,school,establishment"
Advent Links-SAUC Education Centre,"41 Sims Dr, #01-277, Singapore 380041",+65 6254 9246,http://www.alsauc.edu.sg/,"consultant,point_of_interest,school,establishment"
NTUC First Campus,"229 Mountbatten Rd, #02-08 Mountbatten Square, Singapore 398007",+65 6509 7888,https://www.ntucfirstcampus.com/,"preschool,child_care_agency,point_of_interest,school,establishment"
"Creative Campus (Orchard) - English & Literature Tuition and Enrichment Centre, GP and IB Tuition","545 Orchard Rd, #14-07/08 Far East Shopping Centre, Singapore 238882",+65 6455 3063,https://creativecampus.com.sg/,"point_of_interest,establishment"
A Class Act - Boutique English Enrichment Centre,"239533, Killiney Rd, 87号 #01-01",+65 9643 5780,https://aclassact.com.sg/,"child_care_agency,point_of_interest,establishment"
LevelUp Tuition Centre,"Blk 83 Lor 2 Toa Payoh, #01-447, Singapore 310083",+65 8817 1185,https://leveluptuition.sg/,"point_of_interest,establishment"
The Write Connection - Toa Payoh,"293 Lor 6 Toa Payoh, #02-03 SAFRA, Singapore 319387",+65 6931 7980,http://www.thewriteconnection.com.sg/,"point_of_interest,establishment"
Joyous Learning Academy Pte Ltd,"Block 177 Toa Payoh Central, #01-138, Singapore 310177",+65 6264 9193,http://www.joyouslearning.com.sg/,"consultant,child_care_agency,point_of_interest,establishment"
WRITERS AT WORK Enrichment - Marine Parade,"Blk 82 Marine Parade Central, #01-614, Singapore 440082",+65 8388 5075,http://www.writersatwork.com.sg/,"point_of_interest,establishment"
Helix Performance Lab,"60 Paya Lebar Rd, #07-54 Paya Lebar Square, Singapore 409051",+65 8129 8970,https://helix.sg/,"point_of_interest,establishment"
The Learning Board Tuition Centre (Kembangan),"5 Jln Masjid, #01-14, Singapore 418924",+65 9271 0648,https://www.thelearningboard.com.sg/,"point_of_interest,establishment"
EduEdge English & GP Specialists,"301 Serangoon Ave 2, Singapore 550301",+65 6288 8741,http://www.eduedge.com.sg/DCA,"point_of_interest,establishment"
Phi Learning English,"80 Marine Parade Rd, #08-07 Parkway Parade, Singapore 449269",+65 9436 2207,https://philearning.sg/?utm_source=GMB&utm_medium=website,"point_of_interest,establishment"
Connected Learning – Online Primary & Secondary Chinese Tuition In SG,"60 Paya Lebar Rd, #07-54 Paya Lebar Square, Singapore 409051",+65 8725 7379,https://connectedlearning.sg/,"point_of_interest,establishment"
"Start English | Tailored English Classes for Kids, Adults, and Professionals","Paya Lebar Rd, 60号, Paya Lebar Square, #07 54 邮政编码: 409051",+65 9651 4309,https://www.startenglish.sg/,"point_of_interest,establishment"
ULC Academy (Orchard) �Top-Rated English Language School in Singapore | Adults & Kids,"111 Somerset Rd, #12-22, Singapore 238164",+65 9660 9969,https://www.ulcsg.com/,"consultant,point_of_interest,establishment"
United Language Centre(ULC)- The Best English Language School in Singapore,"1 Coleman St, #10-11/12 The Adelphi, Singapore 179803",+65 6015 0910,https://www.ulc.com.sg/,"point_of_interest,establishment"
English Express - Learn English Singapore,"20 Kramat Lane #05-05, United House, Singapore 228773",+65 6714 6723,https://www.englishexpress.com.sg/,"point_of_interest,establishment"
EduFirst Learning Centre (Aljunied) - English Math Chinese Science Tuition Centre Singapore,"110 Lor 23 Geylang, #01-07, Singapore 388410",,http://www.edufirst.com.sg/,"point_of_interest,establishment"
Ardent Training Academy,"315 Joo Chiat Rd, #02-01, Singapore 427566",+65 9658 4473,https://ardentenglish.com.sg/,"point_of_interest,establishment"
PlayFACTO School @ Aljunied,"110 Lor 23 Geylang, #01-09 Victory Centre, Singapore 388410",+65 9678 4746,https://www.playfactoschool.com.sg/aljunied,"child_care_agency,point_of_interest,establishment"
DO Applied Learning By Epoch Talent Academy (Raising Standards; Changing Lives),"86 Marine Parade Central, #04-302, Singapore 440086",+65 9105 0593,https://doappliedlearning.com.sg/,"consultant,point_of_interest,establishment"
School of Language International- English & Chinese Courses Singapore,"10 Anson Rd, #20-07 International Plaza, Singapore 079903",+65 8509 3488,http://www.language-int.com/,"school,point_of_interest,establishment"
Playwrite.sg,"60 Paya Lebar Rd, Singapore 409051",+65 8026 7309,https://www.playwrite.sg/,"point_of_interest,establishment"
British Education Centre,"300 Beach Road, The Concourse, #20-01/02/07, Singapore 199555",+65 9220 0948,https://www.bec.edu.sg/,"point_of_interest,establishment"
Lifelong Learning Institute,"11 Eunos Rd 8, Singapore 408601",,http://lifelonglearningsg.org/,"point_of_interest,establishment"
Acer academy,"113 Aljunied Ave 2, #01-17, Singapore 380113",+65 9842 9884,http://aceracademy.sg/,"point_of_interest,establishment"
Grace Learning Academy,"20 Mugliston Rd, Singapore 437726",+65 9816 2473,https://www.gracelearningacademy.com.sg/,"point_of_interest,establishment"
English Explorer – Leading English Language School In Singapore,"10 Anson Rd, #22-07B International Plaza, Singapore 079903",+65 9028 7560,https://www.englishexplorer.com.sg/,"point_of_interest,establishment"
Lithan Academy,"11 Eunos Rd 8, #07-02 Lifelong Learning Institute, Singapore 408601",+65 6324 9730,http://www.lithan.com/,"point_of_interest,establishment"
English Ninjas Enrichment and Tuition Centre,"1 Fifth Ave., #03-08, Singapore 268802",+65 8428 0026,https://englishninjas.sg/,"point_of_interest,establishment"
The Eton Academy by EtonHouse (Great World),"1 Kim Seng Promenade, #03-126 Great World, Singapore 237994",+65 6994 3001,https://theetonacademy.com.sg/,"point_of_interest,establishment"
Mrs D's English Enrichment,"20 Kramat Ln, #03-05 United House, Singapore 228773",+65 8138 6011,http://www.english-enrichment.com/,"point_of_interest,establishment"
The Right Word,"205A Upper Thomson Rd, Singapore 574345",+65 9150 1560,https://www.therightword.com.sg/,"child_care_agency,consultant,point_of_interest,establishment"
HAO Chinese Tuition Centre 好学堂 (HQ),"501 Balestier Rd, #02-01 Wai Wing Centre, Singapore 329844",+65 8626 7300,https://haochinesetuition.com/,"point_of_interest,establishment"
EliteKid Chinese,"110 Middle Rd, #07-02A Chiat Hong Building, Singapore 188968",+65 8884 9619,https://elitekid.com.sg/,"point_of_interest,establishment"
KidStartNow,"209 New Upper Changi Rd, #03-649 HDB Bedok, Singapore 460209",+65 6481 1907,http://www.kidstartnow.com/,"point_of_interest,establishment"
Yanzi Mandarin - Chinese Tuition & Enrichment (Katong Branch),"865 Mountbatten Road #02-31 and #05-15 Katong Shopping Centre, Singapore 437844",+65 9135 9889,http://yanzimandarin.com/,"point_of_interest,establishment"
Yi Mu Tian Chinese Enrichment 一亩田华文坊,"398 Upper Paya Lebar Rd, #02-06 Prestige Point, Singapore 534986",+65 9766 1663,http://yimutian.com.sg/,"point_of_interest,establishment"
Phi Learning Chinese (飞学院) @ Marine Parade - Chinese Enrichment | Chinese Tuition Class Singapore,"80 Marine Parade Rd, #08-09 Parkway Parade, Singapore 449269",+65 8878 5558,https://philearningchinese.sg/,"school,point_of_interest,establishment"
My Chinese Steps Learning Centre (The Flow Mall),"66 E Coast Rd, #03-08, Singapore 428778",+65 8891 4460,http://www.mychinesesteps.com/,"child_care_agency,school,point_of_interest,establishment"
Tongxin Learning Centre,"Block 305 Ubi Ave 1, #02-169, Singapore 400305",+65 9781 8435,https://www.tongxinlc.com/,"point_of_interest,establishment"
Fang Cao Yuan Chinese Learning,"SG 112 East Coast Road,i12Katong, #03-18/19/20",+65 6908 2338,http://fangcao.edu.sg/,"point_of_interest,establishment"
Seedlings World Student Care,"396 Joo Chiat Pl, #02-05 The Yards, Singapore 428079",+65 9780 8484,https://www.seedlingsworld.com.sg/,"child_care_agency,point_of_interest,establishment"
Hua Cheng Education Centre (Parkway Centre),"1 Marine Parade Central, #05-09 Parkway Centre, Singapore 449408",+65 8092 2686,https://www.huachengeducation.com.sg/,"point_of_interest,establishment"
Leap Learning Centre 百分百学习中心,"51 Upper Serangoon Rd, #03-07, Singapore 347697",+65 6904 3528,https://www.leaplc.com/,"point_of_interest,establishment"
Yang Guang Chinese Enrichment Centre (Bukit Timah),"733 Bukit Timah Rd, #01-04, Singapore 269748",+65 6816 2230,,"point_of_interest,establishment"
Elite Linguistic Academy @ Bugis - Chinese Courses for Adults - Singapore,"110 Middle Rd, #07-02A Chiat Hong Building, Singapore 188968",+65 8885 7668,https://www.elitelinguistic.com/,"point_of_interest,school,establishment"
Hua Cheng Education Centre (The Midtown),"1187 Upper Serangoon Rd, #02-23/24 Midtown Residences (The Midtown Residences), Singapore 533971",+65 6844 9300,http://www.huachengeducation.com.sg/,"point_of_interest,establishment"
Hua Language Centre (United Square),"101 Thomson Rd, Singapore 307591",+65 6255 5060,https://www.hua.com.sg/,"point_of_interest,establishment"
YouLe Mandarin Kovan | 优乐语文中心,"203 Hougang St 21, #01-47/49, Singapore 530203",+65 9669 7203,,"point_of_interest,establishment"
Han Hai Language Studio - Learn Chinese in Singapore - Orchard Studio,"40A Orchard Road MacDonald House #03-00, Singapore 238838",+65 8328 3208,http://www.hanhai-language.com.sg/,"consultant,point_of_interest,school,establishment"
LingoAce Singapore,"111 Somerset Rd, #04-06 TripleOne Somerset, Singapore 238164",+65 3105 1163,https://www.lingoace.com/sg/?utm_source=gmb&utm_medium=organic,"point_of_interest,establishment"
YouLe Mandarin Parkway | 优乐语文,"1 Marine Parade Central, #07-04/#08-01, Singapore 449408",+65 9888 8408,,"point_of_interest,establishment"
"Chengzhu Mandarin Centre, The Woodleigh Mall","11 Bidadari Park Dr, #02-45, Singapore 367803",+65 6993 8851,https://www.chengzhu.edu.sg/,"point_of_interest,establishment"
YouLe Mandarin Forum | 优乐语文中心,"583 Orchard Rd, #06-01, Singapore 238884",+65 8347 0649,,"point_of_interest,establishment"
"World Nam Wah Pai Association- Qigong, Tai Chi & Martial Arts","9 Lor 29 Geylang, #05-02, Singapore 388065",+65 9857 4553,https://namwahpai.sg/,"sports_activity_location,point_of_interest,health,establishment"
Chinese Edge - Singapore Mandarin Classes,"10 Anson Rd, #22-07H International Plaza, Singapore 079903",+65 8321 1902,https://www.chineseedge.com.sg/,"point_of_interest,establishment"
Linda Mandarin City Campus - Mandarin Course Singapore,"10 Anson Rd, #22-07A International Plaza, Singapore 079903",+65 9299 2356,https://www.lindamandarin.com.sg/,"point_of_interest,school,establishment"
Yi Xue Learning Centre  - Clementi,"3151 Commonwealth Ave W, #02-04A Grantral Mall @ Clementi, Singapore 129581",+65 9352 9221,http://www.yixuelc.com/,"point_of_interest,establishment"
Mandarin Plus,"16 Raffles Quay, #09-83/86, Singapore 048581",+65 9720 7491,http://www.mandarinplus.com.sg/,"point_of_interest,establishment"
EduGrove Mandarin Enrichment Centre (Ang Mo Kio),"53 Ang Mo Kio Ave 3, #03 - 07, Singapore 569933",+65 6016 4452,http://edugrove.com.sg/,"point_of_interest,establishment"
"Chengzhu Mandarin Centre, Rochester Mall","35 Rochester Drive #03-01 to 05 & 27, Singapore 138639",+65 6737 5348,https://www.chengzhu.edu.sg/,"point_of_interest,establishment"
Han Hai Language Studio - Learn Mandarin Singapore,"40A Orchard Rd, MacDonald House, Singapore 238838",+65 8328 3208,http://www.hanhai-language.com.sg/,"point_of_interest,establishment"
Hua Cheng Education Centre (City Square Mall),"City Square Mall, 180 Kitchener Rd, #07-07/08, Singapore 208539",+65 8882 0020,http://www.huachengeducation.com.sg/,"school,point_of_interest,establishment"
Busy Bees Learning Centre (Balmoral Plaza),"271 Bukit Timah Rd, #02-18/19 Balmoral Plaza, Singapore 259708",+65 6733 2939,https://www.bblcchinese.com/,"primary_school,school,point_of_interest,establishment"
Lemon Tree Chinese Learning Centre (乐蒙),"1187 Upper Serangoon Rd, #02-22 Midtown Residences (The Midtown Residences), Singapore 533971",+65 6970 7796,http://www.lemontree.com.sg/,"point_of_interest,establishment"
YouLe Mandarin Jurong East ,"Blk 135 Jurong Gateway Rd, #02-315, Singapore 600135",+65 8788 5135,https://www.youle.com.sg/,"point_of_interest,establishment"
Malay Tuition - Pusat Bahasa NUSA (Pasir Ris - Blk 483),"Blk 483 Pasir Ris Drive 4, B1-477, Singapore 510483",+65 8208 2997,http://malaytuitionsg.com/,"point_of_interest,establishment"
Malay Language Centre of Singapore,"13 Bishan St 14, Singapore 579778",+65 9670 7951,,"point_of_interest,establishment"
Malay Tuition - Pusat Bahasa NUSA (Tampines),"614 Tampines North Dr. 1, #01-11, Singapore 520614",+65 9617 2830,http://www.malaytuitionsg.com/,"point_of_interest,establishment"
Malay Tuition - Pusat Bahasa NUSA (Pasir Ris),"Elias Rd, #01-120 Block 614, Singapore 510614",+65 6583 2616,http://www.malaytuitionsg.com/,"point_of_interest,establishment"
Malay Tuition,"120B Edgedale Plains, Singapore 822120",+65 9475 0059,https://malaysupertutor.wordpress.com/,"point_of_interest,establishment"
Malay Tuition - Pusat Bahasa NUSA (Choa Chu Kang),"Choa Chu Kang Central, B1-212 Block 217, Singapore 680217",+65 6816 2910,http://www.malaytuitionsg.com/,"point_of_interest,establishment"
Cakap Malayu Learning Centre,"20 Kramat Ln, #05-05 United House, Singapore 228773",+65 6750 4414,http://cakapmalayu.crystallearning.edu.sg/,"point_of_interest,establishment"
Malay Tuition - Pusat Bahasa NUSA (Woodlands),"Blk 721 Woodlands Cir, #01-122, Singapore 730721",+65 9189 5905,http://www.malaytuitionsg.com/,"point_of_interest,establishment"
My First Skool at Blk 113 Alkaff Crescent,"Blk 113 Alkaff Cres, #01-01 Alkaff Oasis, Singapore 340113",+65 6509 7887,https://www.myfirstskool.com/?utm_medium=visit-website&utm_source=GMB-AKC01&utm_campaign=Google&utm_term=website-button&utm_content=GMB,"preschool,child_care_agency,school,point_of_interest,establishment"
Ilham Child Care (East) Pte Ltd,"1 Ubi View, #01-20 Focus One, Singapore 408555",+65 6749 6323,http://www.ilhamchildcare.com/,"preschool,child_care_agency,school,point_of_interest,establishment"
Da Di Learning Studio 大地学堂 (Eunos),"10 Jln Ubi, #02-03 Community Centre, Singapore 409075",+65 8699 8667,https://www.dadi.com.sg/,"point_of_interest,establishment"
Lingo Languages - Singapore,"20 Kramat Lane United House #05-05, Singapore 228773",+65 6222 0583,https://lingo.edu.sg/,"point_of_interest,establishment"
MOE Language Centre (Bishan),"11 Bishan St 14, Singapore 579782",+65 6258 7794,http://www.moelc.moe.edu.sg/,"point_of_interest,establishment"
inlingua School of Languages,"51 Cuppage Rd, #10-12, Singapore 229469",+65 6737 6666,https://inlingua.edu.sg/,"summer_camp_organizer,point_of_interest,school,establishment"
Muslim Converts' Association of Singapore (Darul Arqam Singapore),"32 Onan Rd, Singapore 424484",+65 6597 0400,http://www.darul-arqam.org.sg/,"place_of_worship,point_of_interest,establishment"
FirstCom Academy,"11 Eunos Rd 8, #08-04 Lifelong Learning Institute, Singapore 408601",+65 6653 7552,https://www.fca.edu.sg/,"point_of_interest,establishment"
Geylang East Library,"50 Geylang East Ave 1, Singapore 389777",+65 6547 1975,https://www.nlb.gov.sg/main/visit-us/our-libraries-and-locations/libraries/geylang-east-public-library,"library,point_of_interest,establishment"
YMCA of Singapore,"1 Orchard Rd, Singapore 238824",+65 6336 6000,http://www.ymca.org.sg/,"point_of_interest,establishment"
Wisma Geylang Serai,"1 Engku Aman Turn, Singapore 408528",,https://www.facebook.com/WismaGeylangSerai/,"community_center,event_venue,point_of_interest,establishment"
